序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261217502033,3546813950855992,bili_3546813950855992,3,保密,5月6日下午两点52分谁开了一把零号大坝普通并且把这鳄鱼引到路上来我真谢谢你啊,2025-05-06 06:53:03,0,0,,未知,否,https://i1.hdslb.com/bfs/face/855a663c1dd848b73233896c18eac5eb8b5e5bc9.jpg,Joy
2,0,261171726897,1464061675,还好还好哈哈哈哈会后,5,保密,阴的没边[笑哭],2025-05-05 13:46:17,0,0,立志关注所有男娘,未知,否,https://i1.hdslb.com/bfs/face/0c2bfdcab269310e459cc18b47746ba5dad9e48d.jpg,Joy
3,0,261135446609,3546607962294651,勾勾4,3,保密,我好像是被杀的那个,2025-05-05 05:54:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Sadness
4,0,261111004561,82394595,我就是那个逍遥悠啊,6,男,这玩意儿在黑夜是真的吓人,2025-05-05 00:20:49,0,0,大象席地而坐，太阳照常升起。,未知,是,https://i0.hdslb.com/bfs/face/4f9a2be27b789b593ec495e653f4d4a5d92cba8f.jpg,Surprise
5,0,261099699649,14596387,198斤的炮炮,6,男,哈基鳄有点东西,2025-05-04 17:00:20,0,0,"某某某划水水@萌芽池 
恐怖的野生加提卡香蕉人",未知,是,https://i1.hdslb.com/bfs/face/d50204ef9c849306b12252ab4afb54f96087827c.jpg,Joy
6,0,261097969137,3546726793218454,万分之的十八厘米,3,保密,大家都三排你准备六排是吗[辣眼睛][辣眼睛][辣眼睛],2025-05-04 16:33:34,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg,Disgust
7,0,261088940753,1570724055,队友好队友妙,5,保密,原来是你呀大能，我是说前几天怎么在电站有鳄鱼[蹲蹲],2025-05-04 14:45:05,0,0,,未知,是,https://i0.hdslb.com/bfs/face/de95b3b384e3cd6426cdea82f581032739e2e589.jpg,Joy
8,0,261970994096,52362539,屑青不是屑cyan,4,男,把鳄鱼引到交易桥上🤓,2025-05-04 03:38:47,1,0,"回家过大年，一起开开心心吃年夜饭!
祝福您和您的家人身体健康，平平安安，万事如意，事事顺利，发大财!",未知,否,https://i2.hdslb.com/bfs/face/f32eba631bcb6603cdb6c6c9de416ec7c47e6772.jpg,Joy
9,0,261944380704,3546773962361529,墨沫CZA,3,男,@三角洲行动,2025-05-03 16:37:10,0,0,所谓自由，不是随心所欲，而是自我主宰,未知,否,https://i0.hdslb.com/bfs/face/863eb936f3d91ffd9d350c10036f036e7def3902.jpg,Neutral
10,0,261839822928,3546560717654137,晚上肯定就不,4,保密,既然都引走鳄鱼了，那来试试引一下赛伊德吧[doge],2025-05-02 13:28:54,0,0,,未知,否,https://i1.hdslb.com/bfs/face/85ed3ecaf8e182c2a69fc02d8f92595e642a1650.jpg,Joy
11,0,260634262929,26225496,昨晚又梦见她了,6,男,城会玩,2025-04-29 07:00:53,0,1,热烈庆祝自己的大会员终于到期了～(￣▽￣～)~,未知,否,https://i0.hdslb.com/bfs/face/76396a7238e280c22a09abe3f9750ebd103b5b0d.jpg,Joy
12,0,261550689696,3494359620127509,匿名AA1,5,保密,萌新震惊，还没有被鳄鱼咬过[doge],2025-04-29 04:49:45,0,1,,未知,否,https://i0.hdslb.com/bfs/face/16098530cee04a397c4738e8423ccf9ba851c0c0.jpg,Surprise
13,0,260445388705,697375457,不慌我有金身,5,保密,小电翻垃圾桶的时候被鳄鱼咬死了，我想不明白为啥小电会刷鳄鱼,2025-04-26 15:57:36,0,1,,未知,否,https://i2.hdslb.com/bfs/face/51ac9afedc4df05cee531f86326df6093db3fb3c.jpg,Neutral
14,0,261181520224,1234653516,孤鸿飘渺在何方-,4,保密,我说TM的变电站哪来的鳄鱼[生气],2025-04-24 12:37:33,0,1,,未知,否,https://i0.hdslb.com/bfs/face/a1798d61a19421fa30d690c0ebaa86f4da778a19.jpg,Anger
15,0,259857170337,3493285706336854,爱看视频的透明人,4,保密,扫码鳄鱼，刚咬完我还没起身，又咬了我一口[笑哭],2025-04-19 07:08:22,0,1,,未知,否,https://i1.hdslb.com/bfs/face/e7f084bf3fa0c5e05f7c231bd48398d0e3c7baa3.jpg,Joy
16,0,260729761760,32287600,山区儿童追番难,6,女,下期呢我请问了,2025-04-19 02:02:54,1,4,我懒死了，什么都不想写,未知,否,http://i1.hdslb.com/bfs/face/9e32fc8476afec2a21b75a111a20422bab6528ad.jpg,Expectation
17,0,260729298400,3546617047157325,星空之下23333,3,男,你能想象长夜模式，我刚出大电站，以一只残血属鼠的形象面对草丛旁边蹦出一只鳄鱼的绝望吗[大哭],2025-04-19 01:57:02,0,1,,未知,否,https://i0.hdslb.com/bfs/face/dd49e6ac1549905e814689b62e7bce71dc72c4ba.jpg,Sadness
18,0,259758228065,438013567,纸上有油,5,保密,死亡翻滚+肘击，无缝衔接[藏狐],2025-04-18 02:46:25,0,1,随缘相遇，愿你开心！,未知,是,https://i1.hdslb.com/bfs/face/60555d1cfd130eb423d803bda96ced98a6812f02.jpg,Joy
19,0,260617338560,567972205,天命の汤姆,5,男,新赛季了，黑夜模式，能不能在黑夜模式拉几只过去？[滑稽],2025-04-17 14:09:08,4,11,汝何不乘风归去，扶摇直上九万里。,未知,是,https://i1.hdslb.com/bfs/face/bc435be7d5b348cd19332c8ba262972d50820283.jpg,Expectation
20,0,260591241696,10344020,丶丶单单,6,保密,。。。鳄鱼红怒W，时光两个Q,2025-04-17 08:18:39,0,1,,未知,是,https://i2.hdslb.com/bfs/face/05701b5c269994f21c6ed6c2d89e8c4b50c33023.jpg,Neutral
27,0,259621881665,10399089,合散如烟,6,男,"有次听到外面有枪声，而且响了有一会儿，我以为是真人在清人机，匆匆忙忙外跑想去劝架。
然后就看到这一幕:

小鳄鱼快把人机清完了……",2025-04-16 06:00:59,0,1,风景旧曾谙,未知,是,https://i0.hdslb.com/bfs/face/243c9ea6e53bd83fe982c714e27bfe9b8077c0fb.jpg,Surprise
28,0,259402532033,1618685458,凑字数的皮猫,5,男,好玩好玩[大笑],2025-04-13 07:35:08,1,2,懒~,未知,否,https://i1.hdslb.com/bfs/face/189e110bbdaa4d5892e6610287e8509dcb62fb80.jpg,Joy
29,0,259887803680,1835361129,为何彼此错过,5,男,兽王争峰[doge],2025-04-08 14:14:17,0,2,带着希望在21世纪活下去,未知,是,https://i0.hdslb.com/bfs/face/dc3ce9efb8fe8780d19eb9628eb022c8ea2d0d91.jpg,Joy
30,0,259881210448,289837049,灵笼灬白月魁,6,保密,臣本蜂医，跑刀于普坝，苟全性命于管道，不求闻达于东楼，大红不以臣用制式，猥自枉屈，三顾臣于普坝之中，赠臣以百万撤离，犹是得吃，遂许刘涛以驱驰，后值航天，受任于总裁之室，被堵于飞升之间，尔来二十有一局矣，大红知臣谨慎，故临崩寄臣以保险也，出红以来，屡战屡败，恐红不复出，以伤先帝之明，故女郎牛角，出于免保，今m14一定，刘涛已足，当奖率三乌鲁鲁，绝密航天，出生堵桥，攮除老太，兴复仓库，还于燃料，此臣之所以报小鼠，而忠猛攻也，至于战损之比，队友忠言，则老太，赛伊德，雷斯之任也,2025-04-08 12:55:14,0,1,,未知,否,https://i2.hdslb.com/bfs/face/66736cfdbc690cdd35133fd51e0bbd4db2698aad.jpg,Neutral
31,0,259020537553,39794498,不知道该取什么丶,6,保密,有谁知道甄嬛吹的歌叫什么吗？好几年前听到的怪想念,2025-04-08 12:14:11,0,1,仓廪足而知礼节，衣食足而知荣辱。,未知,否,https://i2.hdslb.com/bfs/face/c5a3241c9352419d21114ff10c4ee72785278bca.jpg,Regret
32,0,259492929840,1224778746,成为太阳的高木同学,4,男,大能试试让鳄鱼去咬塞伊德[doge_金箍],2025-04-04 03:16:52,0,1,懒狗一只，不爱更新，爱打使命召唤手游，极品飞车集结，三角洲行动手游，初二生，喜欢历史,未知,否,https://i0.hdslb.com/bfs/face/6ebae9d94c15d865322dd4b85b7065bdc3ed3515.jpg,Joy
