序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,256342005328,667248117,老彧同学,5,男,为啥都在吐槽攀升，我感觉攀升我捞的挺爽的，c点刷步战车，开主动防御进c1放防御榴弹捞了1000分又倒车出来，反复这样到塔尖都能起一个导弹和两个信标了,2025-02-25 10:17:06,1,0,本人QQ:2861825313 粉丝Q群36331460,未知,是,https://i0.hdslb.com/bfs/face/a99dd32eb3bfcb9f18d26f247026d7a375d0a6d9.jpg,Joy
2,0,255512317328,112987317,蛋花汤盖饭,6,保密,三角洲动作切换太僵硬了,2025-02-15 19:00:01,0,0,当你点开我的主页红温着想打字攻击我或者急着回复我的那一刻，你就输了，你不是小丑，是马戏团的王牌,未知,是,https://i0.hdslb.com/bfs/face/cafc8f2ff28b98883bc4dec78b54c2a103b1d29b.jpg,Disgust
3,0,249621782816,520875339,咖啡卡片,6,男,看完了TGA之后我们会发现，原来金摇杆才是真正的金奖[doge_金箍],2024-12-13 17:37:06,0,5,,未知,是,https://i0.hdslb.com/bfs/face/751a397d075b9dc1566a61275071eabf6f0be994.jpg,Surprise
4,0,249370917536,112009920,骑龍巷左护法,6,保密,玩过几下三角洲，手感很差，没有玩下去的欲望,2024-12-10 23:52:00,1,0,,未知,否,https://i0.hdslb.com/bfs/face/9d4e2dafcc02005f7af6874bd4bac8d67472ced9.jpg,Disgust
5,0,248804522417,261168850,努力学法的小马头,6,女,这游戏就好像switch上的海绵宝宝大战蟹堡王，一堆人买，特别魔性好玩。因为是买断制，不用担心体力不够之类的，玩起来特别流畅，可以一直顺畅地玩到通关。,2024-12-09 05:35:22,0,0,,未知,否,https://i1.hdslb.com/bfs/face/fc5bdd750c10a7026c276fff30d0c5b631dd45ed.jpg,Joy
6,0,246647844977,340406699,桓那兰那的那菈兰那罗,6,保密,占领的话攀升有一方回很快乐，跟朋友打的时候四个自爆兵威龙在高点跳伞炸坦克，威龙+粉红95。转炸坦克炸完就重新部署，不带犹豫的。[doge],2024-11-12 15:37:37,0,0,成分复杂区up,未知,否,https://i2.hdslb.com/bfs/face/c2c2de63d5eef65a1ac65aa696b7fb8b98083e55.jpg,Joy
7,0,246571917841,2880093,时崎彡三三,6,男,三角洲从9.26玩到11.11，几乎每天都玩，战地cod人间地狱这些游戏之前只是光看就热血沸腾一直没玩，突然知道了三角洲，体验还是不错的，10分我能给8分，那些小问题等待后续优化,2024-11-11 15:44:22,0,0,做电子舔狗 谈程序恋爱 娶赛博老婆 享惬意人生,未知,否,https://i0.hdslb.com/bfs/face/b3bf670abbf67a71d6feeb98098e16c97baf6a91.jpg,Joy
8,0,246527848304,642633338,武王月,5,男,沙威玛整个游戏就做饼卖钱，跟在流水线打螺丝有什么区别。。。,2024-11-07 12:00:04,0,0,永远年轻，永远热泪盈眶。,未知,否,https://i2.hdslb.com/bfs/face/08e5d61a970bfe4b1dab5a08d5c5ab12867e8b0c.jpg,Disgust
9,0,245980345729,30372589,原铁绝代肝寒月,6,保密,金摇杆今年肯定是一大堆的政治正确游戏获奖,2024-11-04 05:30:13,4,0,WX Hanxueyinyue  三年老代 原 星铁 ZZZ  500+战绩,未知,是,https://i1.hdslb.com/bfs/face/b5396250ab385ee2e6aea0b788662120d9b13934.jpg,Disgust
10,0,246085583104,296980305,n成蹊,5,保密,早期qq空间里的一堆游戏都是养成类，qq超市，qq餐馆，qq三国塔防。超市就是补货和布局货架，餐厅也是装修升级，炒菜。塔防就更不用说了。只能说早期的游戏市场不够发达。对了，那已经是2010年左右了。养成游戏，无论什么时候都不会落伍。因为这是心理学，黑猴第一轮回能很吸引人，对我而言最大原因也是，装备法宝养成系统。,2024-11-02 04:53:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a454758e8d2be2b7ab9476e30ceab8df0f7f7d22.jpg,Neutral
11,0,245798413249,86681366,乔七J,6,保密,三角洲就是黄磊，样样通样样松，还有一群人捧臭脚。,2024-11-02 02:07:42,2,2,哈哈，剑冢来看你野叠了？,未知,是,https://i2.hdslb.com/bfs/face/57851f2b88061fe6ecddbb7a3b6187628544019c.jpg,Disgust
12,0,245713600593,496876876,劫影戮,4,保密,那个烬区攻防我是真受不了，第一据点就两条路而且太散了，进攻方在高处防，守方在低处，人还没下去就被突死了，就一个地方能打半天，到了巷战那是跟本不知道人会从哪来，还要攻两个点这个点刚打完跑去下一个点这点就守不住了，特别是占点时候一点掩体没有四面还都有口子跟本防不住，这就是强行给人凑游戏时长的，攀升更不用说了，防守方跟本防不住，进攻方架个坦克在那轰在来几人守着坦克根本没机会去破掉，一点掩体没有玩威龙去贴c4要死好几回，特别是最后在山洞里进攻方开辆坦克来架在那轰直接随便拿下据点，然后给那架着通到，这也是神人设计，两个据点之间就两条路可走对面有扔烟又扔闪的再来个火跟本打不了，这地图设计师是怎么想的,2024-10-31 23:57:21,0,0,挂机使我快乐,未知,否,https://i1.hdslb.com/bfs/face/f22001df5c14b29565c82a460533f26f53ceb34f.jpg,Disgust
13,0,245965244224,1560012917,-CaesarGattuso-,5,保密,三角洲全面模式吸引了很多不熟悉战地这类游戏的玩家，同时也有战地本地人。我是属于后者，通过几天的体验我表示捞薯条捞的很爽，脱离了战地的基本束缚。但因为前面说的有很多新玩家，所以像坦克打狙，医生不救人，捞和被捞的等等情况也是体验了一遍。地图上就表示很杂，像攀升A点很空旷到后面就基本是窝在一个小点，临界点的B点帐篷更是绞肉机，内宽外窄，掩体多而且单向通道，跟战地比就感觉少了过渡，地图大但可利用的地方少,2024-10-31 14:52:35,0,0, 。,未知,是,https://i2.hdslb.com/bfs/face/b3970d0f44ddd11586005d4c2af14b1cd54e0331.jpg,Neutral
