三角洲行动|包含|工事特殊玩法
玩家|可以利用|工事中的沙袋掩体和反载具路障作为掩护体
干员|可以在战场中建造|工事
全部干员|可以修筑|沙袋掩体
工程兵|使用|焊枪修筑工事
其他兵种干员|使用|工具盒修筑工事
PC端玩家|按下|按键6
按键6|可以看到|可以修建工事的位置
干员|靠近|工事位置
干员|点击左键|开始修建工事
工程兵|修筑沙袋掩体速度|比其他兵种更快
工程兵|可以修筑|反载具路障
工程兵|可以修筑|固定机枪
沙袋掩体|用于|阻挡敌方火力
沙袋掩体|能|有效分割战场区域
沙袋掩体|硬度|较高
子弹|难以|对沙袋掩体造成伤害
小型爆炸物|对沙袋掩体造成伤害|有限
工程兵的AT-4|可以|快速摧毁沙袋掩体
威龙的磁吸炸弹|可以|快速摧毁沙袋掩体
乌鲁鲁的巡飞弹|可以|快速摧毁沙袋掩体
任意载具|撞击|能摧毁沙袋掩体
沙袋掩体|可以预防|侦察兵和支援兵绕后放信标
反载具路障|可以阻挡|敌方载具推进
反载具路障|较难|摧毁
AT-4|可以|摧毁反载具路障
磁吸炸弹|可以|摧毁反载具路障
巡飞弹|可以|摧毁反载具路障
工程兵|可以修筑|固定机枪
工程兵|可以维修|地图上本身有的固定机枪
工程兵|可以维修|地图上本身有的岸防炮
三角洲行动工事修建方法|由|3DM小编整理
更多游戏攻略|发布于|3DM手游网
