三角洲行动|包含地点|零号大坝
零号大坝|刷新物品|大金
三角洲行动零号大坝大金|刷新位置|游客中心一楼桌子
游客中心一楼桌子|物品|数码相机
三角洲行动零号大坝大金|刷新位置|水泥厂管道
水泥厂管道|物品|军用炸药
三角洲行动零号大坝大金|刷新位置|东楼外航空箱
东楼外航空箱|物品|显卡
三角洲行动零号大坝大金|刷新位置|水泥厂高处
水泥厂高处|物品|西区大门房卡
水泥厂高处|触发条件|火箭筒士兵被打掉
三角洲行动零号大坝大金|刷新位置|东楼设备领用室
东楼设备领用室|物品|酒店王子房卡
东楼设备领用室|搜索对象|架子上的衣服
三角洲行动零号大坝大金|刷新位置|水泥厂外水泥车
水泥厂外水泥车|触发条件|把车放出来
水泥厂外水泥车|物品|军用炸药
三角洲行动零号大坝大金|刷新位置|变电站南侧军营
变电站南侧军营|位置描述|南侧帐篷军营桌子上
变电站南侧军营桌子上|物品|燃料电池
三角洲行动零号大坝大金|刷新位置|游客中心前台
游客中心前台|位置描述|一楼前台上
游客中心前台|物品|设计图纸
三角洲行动零号大坝大金|刷新位置|变电室一楼服务器
变电室一楼服务器|位置描述|一楼服务器间
变电室一楼服务器|物品|燃料电池
三角洲行动零号大坝大金|刷新位置|河滩阿萨拉巡逻队
河滩阿萨拉巡逻队|触发条件|把所有巡逻队打掉
河滩阿萨拉巡逻队|物品|军用卫星通讯仪
3DM小编|整理|三角洲行动零号大坝大金刷新位置一览
三角洲行动零号大坝大金刷新位置一览|发布平台|3DM手游网
本文内容|来源|互联网
如有侵权|处理方式|联系删除
