三角洲行动|进行了|不停机更新
不停机更新|时间|2月13日
不停机更新|内容|深蓝平衡性调整
不停机更新|内容|上线系列活动
深蓝|核心装备|防爆套装
防爆套装|减伤系数|从50%降至30%
防爆盾正面爆炸伤害减免系数|提升|从35%提升至50%
防爆套装|冷却时间|缩短至60秒
防爆套装|引入|体力恢复速度递减机制
体力恢复速度递减机制|表现|使用防爆套装后体力恢复速度逐渐降低
体力恢复速度递减机制|具体数值|10秒后降至75%
体力恢复速度递减机制|具体数值|20秒后降至50%
体力恢复速度递减机制|具体数值|45秒后降至10%
解除防爆套装|效果|立即移除体力恢复限制
调整目的|减少|深蓝全程持盾时间
调整目的|鼓励|玩家灵活运用或解除防爆套装
防爆套装开启和解除声音传播范围|扩大|50米
持盾状态下特殊脚步声辨识度|提高|显著提高
使用防爆套装期间角色冲刺奔跑速度|降低|有所降低
开启防爆套装后的冲刺盾击体力消耗|上调|从40上调至50
调整效果|减少|深蓝快速突进能力
调整效果|给予|对手更多反应时间和拉扯空间
多功能钩抓枪|受击体积|略微增大
多功能钩抓枪|更容易被|射击摧毁
多功能钩抓枪|更容易被|近战摧毁
刀片刺网手雷爆炸摧毁所需伤害阈值|提升|从20提升至30
多功能钩抓枪和刀片刺网手雷改动|降低|深蓝战场上的不可预测性和突然袭击效果
3DM小编|整理|《三角洲行动》深蓝平衡性调整内容
3DM手游网|提供|更多精彩内容和持续更新
