三角洲行动|开启的第二站地图|长弓溪谷
长弓溪谷|属于|机密超危险行动
参与这次地图的玩家|需要|了解地图地势走向
参与这次地图的玩家|需要|制定作战策略完成战局绞杀
哈夫克和阿萨拉卫队|在|长弓溪谷针锋相对
长弓溪谷|处在|零号大坝下游
长弓溪谷|面积|广阔
长弓溪谷|地形|整体上高下低
长弓溪谷|有|河流穿过
河流|将|溪谷分为上下两个半区
河流两侧高处|能|将河道两岸大部分情况收于眼底
左侧|有|4个主要资源区域
左侧资源区小型庄园|物资|较少
加尔比旧址|主要产出|医疗相关物品
沙径牧场|靠近|左侧撤离点
沙径牧场|主要产出|工具材料
玩家|在撤离前|可以搜索沙径牧场（如果时间充裕）
坠机之地|位于|沙径牧场右侧
坠机之地|属于|随机资源区
坠机出现|地图上|显示飞机残骸
坠机未出现|玩家|可在附近渔村快速搜刮
中部|有|7个资源区
哈夫克雷达站|位于|中部上方
钻石皇后酒店|位于|中部下方
阿萨拉卫队首领地狱黑鲨雷斯|经常现身于|哈夫克雷达站或钻石皇后酒店
哈夫克雷达站|处于|信号屏蔽区
信号屏蔽区|影响|地图信息不可用
哈夫克雷达站|有|4个入口
哈夫克雷达站|资源多分布于|主要建筑内
雷达站综合楼|位于|哈夫克雷达站左边靠近外墙一侧
雷达站综合楼|由|一条长廊和一栋2层建筑组成
雷达站综合楼1楼|有|1台电脑
雷达站综合楼|约有|7处物资点
雷达站实验楼|位于|雷达站主楼一侧下沉式2层建筑
雷达站实验楼|内部|装配机械臂的实验区
雷达站实验楼|地下|还有一层
雷达站实验楼|约有|8处物资点
雷达站实验楼|包括|1台服务器和2台电脑机箱
雷达站主楼|有|约18处物资点
雷达站主楼|分为|3层
雷达站主楼2层房间|可能遇到|首领雷斯
雷达站主楼2层房间|有|高价值物资点保险柜
哈夫克雷达站|总计|约40个固定物资点
雷达站主楼房间|如果带门卡|千万别错过
钻石皇后酒店|位于|地图下方
钻石皇后酒店|面积|稍小
钻石皇后酒店|物资|丰厚
钻石皇后酒店|有|狙击兵和火箭筒兵警戒
钻石皇后酒店区域|有|四面入口
钻石皇后酒店|资源多集中于|内部建筑设施
酒店主楼|有|约18个固定资源点
酒店主楼二楼房间|有|2台电脑和1个保险柜
钻石皇后酒店主楼|结构|回形
酒店主楼下方|有|餐厅和独栋客房
餐厅和独栋客房|各有|1台电脑
游泳池及更衣室|有|少量资源
钻石皇后酒店|总计|约30个固定物资点
中部上半区玩家|可选择|前往变电站或储藏站搜索
变电站和储藏站|资源点|较少
储藏站|可通过|完成铁穹行动破开墙体和大门获取更多资源
铁穹行动|接取处|储藏站附近
上半区干员|通过普通撤离点撤离|需要长途跋涉且风险极高
超星车站|有|工具材料和
