三角洲行动|包含模式|全面战场-胜者为王
全面战场-胜者为王模式|获得条件|达到校官段位后参与20v20对抗
参与20v20对抗|完成|指定任务
完成指定任务|获得|专属称号（胜者为王称号）
单局对战|要求|团队成员存活至最后一人
团队成员|需|占领核心据点
团队成员|需|抵御3波攻势
未成功占领据点|结果|无法获得称号
被击败|结果|无法获得称号
每局|投票选出|1名指挥官
指挥官|通过|战术标记影响战局
指挥官|通过|空投支援影响战局
指挥官|通过|全队技能释放影响战局
建议|与|指挥官保持沟通
建议|优先执行|指挥官战术指令
执行指挥官战术指令|效果|提升存活概率
推荐武器|包括|手枪
推荐武器|包括|近战武器
手枪或近战武器|适应|近距离贴身战斗
优先携带战术装备|包括|突破型闪光弹
优先携带战术装备|包括|旋刃飞行器
突破型闪光弹或旋刃飞行器|作用|干扰敌人
突破型闪光弹或旋刃飞行器|作用|掩护撤离
团队分工|医疗兵|负责治疗与掩护
团队分工|突击手|负责清理据点
团队分工|工程兵|负责布置陷阱或无人机侦查
团队|利用|载具快速转移
快速转移|目的|避开敌方埋伏
3DM小编|整理|三角洲行动胜者为王称号获得方法
更多游戏攻略|发布于|3DM手游网
本文内容|来源|互联网
如有侵权|请|联系删除
