三角洲行动|是一款|游戏
玩家|可以改装|载具
目前|有|6种载具可以改装
6种载具|包括|M1A4主战坦克
6种载具|包括|LAV-G1步战车
6种载具|包括|突击车
6种载具|包括|LAV-AA防空车
6种载具|包括|FSV轮式突击炮
6种载具|包括|突击直升机
玩家|进入|载具详情页面
玩家|选择|自定义
选择自定义|可以|对载具进行客制化改装
改装部件|需要|达到对应载具熟练度等级才能解锁
干员们|需要|在战场中使用对应载具积累经验
积累经验|可以实现|载具改装自由
大部分载具|支持改装|驾驶位
大部分载具|支持改装|武器站
大部分载具|支持改装|武器舱
不同改装部件|影响|武器射速
不同改装部件|影响|射程
不同改装部件|影响|伤害
不同改装部件|影响|打击特长
改装载具|可以|应对战场上的各种情形
驾驶位|是|战斗的核心（对于大多数重型载具）
身处驾驶位的干员|兼具|操控载具主武器和机动的职位
驾驶位|确保|载具在战局中发挥最大作用
坦克和步战车的驾驶位|配备|主武器和副武器
主武器|用于|定点打击敌方载具和重点目标
副武器|用于|清除步兵等软目标
不同载具|主副武器|不同
不同载具|改装方案|不同
LAV-G1步战车|可以将主武器高爆弹|更换成尾翼稳定脱壳穿甲弹
尾翼稳定脱壳穿甲弹|提升|弹速
尾翼稳定脱壳穿甲弹|对重型装甲|造成有效杀伤
尾翼稳定脱壳穿甲弹|缺点|溅射伤害低于高爆弹
突击车|是|轻火力重速度载具
突击车驾驶位|专注|高速机动驾驶
突击车驾驶位|不兼具|进攻职能
所有载具驾驶位|配备|2个装备位
装备位1|默认装载|烟雾弹
烟雾弹|用于|阻拦和干扰敌方视野
改装系统|可以将烟雾弹|改装成热能烟雾弹
热能烟雾弹|可以|阻止导弹类武器的锁定与追踪
装备位2|默认装载|维修功能
维修功能|作用|载具损伤后第一时间维修
部分载具|可以将维修功能|改装为主动防御部件
主动防御部件|激活后|抵御来袭炮弹
武器站|由|非驾驶位成员操作使用
武器站|配备|轻型武器
武器站|作用|辅助配合载具主武器攻击
LAV-AA防空车武器站|默认配备|轻机枪
轻机枪|防止|步兵偷袭
武器站|可以改装成|重机枪
武器站|可以改装成|弹幕火箭
重机枪|伤害|更高
弹幕火箭|作用|反步兵提升效率
武器舱|用于|重型武器配置
武器舱|确保|载具持续提供火力
M1A4主战坦克武器舱|默认配备|火箭舱
火箭舱|可以|发射多发火箭配合反载
火箭舱|可以改装成|霰弹
火箭舱|可以改装成|迫击炮
霰弹|用于|近距离直射打击步兵
迫击炮|用于|中距离曲射对集群步兵造成巨大伤害
载具|支持|更换外观
玩家|可以选择|与众不同的风格
与众不同的风格|用于|在战场上彰显风采
玩家|进入|载具详情页面
玩家|选择|自定义对载具进行
