三角洲行动|赛季名称|黑夜之子
黑夜之子|主打|暗夜环境下的战术对抗
黑夜之子|新增模式|黑夜模式
黑夜模式|特点|地图光线动态变化
玩家|作战需借助|夜视仪
玩家|作战需借助|环境光源
三角洲行动s4赛季|正式服更新时间|2025年4月12日
三角洲行动s4赛季|同步开启限时活动|胜者为王
新干员|名称|无名(The Nameless)
无名|定位|突击型干员
无名|擅长|隐蔽行动
无名|擅长|快速突袭
无名|主动技能|暗影步
暗影步|效果|短暂隐身并加速移动
暗影步|持续时间|5秒
暗影步|冷却时间|60秒
无名|被动技能|无声猎手
无声猎手|效果1|脚步声降低50%
无声猎手|效果2|近战攻击必触发背刺暴击
背刺暴击|伤害倍率|200%
无名|获取方式|赛季通行证30级解锁
无名|获取方式|商城直购
黑夜模式|新增|所有地图黑夜版本
黑夜模式|视野|受限
黑夜模式|需依赖|夜视装备
黑夜模式|需依赖|手电筒
手电筒|风险|暴露位置
黑夜模式|新增环境互动元素|可破坏路灯
黑夜模式|新增环境互动元素|可点燃油桶制造光源
限时玩法胜者为王|规则|单局仅允许使用手枪与近战武器
限时玩法胜者为王|规则|缩圈速度加快
限时玩法胜者为王|奖励|最终存活者获得专属称号
限时玩法胜者为王|奖励|最终存活者获得外观奖励
物资更新|新增红色物资|ECMO
ECMO|规格|3×3.600万
ECMO|特性|赛季最高价值物资
ECMO|运输需求|需团队协作运输
物资更新|新增红色物资|“钻石”鱼子酱
“钻石”鱼子酱|规格|1×1.50万
“钻石”鱼子酱|特性|高性价比单人携带物资
物资更新|新增橙色物资数量|5种
橙色物资|示例|卫星电话
橙色物资|示例|珠宝头冠
物资更新|新增紫色物资数量|3种
紫色物资|示例|鳄鱼蛋
紫色物资|示例|生化培养箱
武器更新|新增武器|VSK-50狙击步枪
VSK-50狙击步枪|类型|半自动消音狙击枪
VSK-50狙击步枪|适配模式|黑夜模式隐蔽作战
武器更新|新增武器|SPAS-15霰弹枪
SPAS-15霰弹枪|特点|高爆发近战武器
SPAS-15霰弹枪|黑夜模式效果|近身伤害提升20%
平衡性调整|削弱|冲锋枪中距离伤害
冲锋枪|示例|MP7
MP7|伤害衰减距离|缩短至15米
平衡性调整|增强|狙击枪开镜稳定性
狙击枪开镜稳定性|晃动减少|30%
3DM小编|整理|s4赛季更新内容一览
更多游戏攻略|发布平台|3DM手游网
