三角洲行动|将开启|春节版本
春节版本|活动时间|1月24日陆续开启
玩家|可进入|游戏内活动页面
玩家|参与|春节活动
玩家|赢取|丰厚奖励
三角洲行动2025春节活动|包含|多项活动玩法
新春特别活动|提供|海量福利
新春特别活动|赠送|顶级安全箱
新春特别活动|赠送|中级藏品箱
新春特别活动|时间|1月24日-2月2日
玩家|签到|领取顶级安全箱
玩家|签到|领取中级藏品箱
完成赛季支线春雷行动|可获得|7天顶级安全箱
全面战场|每天登录|赠送1张军功倍增卡
累计登录|可获得|新春载具外观防空车-酒红
传说外观登录领|赠送|传说外观SR-25射手步枪-水墨云图
传说外观登录领|时间|1月24日
玩家|1月24日登录|领取传说外观SR-25射手步枪-水墨云图
新春集换卡活动|时间|1月24日-2月11日
玩家|通过对局|获取集换卡包
完成局外任务|可获得|剪刀
玩家|使用剪刀|开启卡包
好友之间|可以|互赠新春卡牌
组成对应卡组|可兑换|限定传说外观
组成对应卡组|可兑换|多种奖励
多种奖励|包括|ASVAL突击步枪
多种奖励|包括|祥龙新年名片
多种奖励|包括|挂饰
多种奖励|包括|春结
多种奖励|包括|物流凭证
多种奖励|包括|新春红包
红包迎玄武活动|时间|1月24日-2月6日
危险行动对局|双倍刷新|空投
空投|必得|烟花
空投|必得|春节红包
空投|概率刷新|限定大红-乙巳玄武
完成活动任务|可获得|乙巳玄武
新春专属活动模式威龙的红包|时间段1|1月24日-1月27日
新春专属活动模式威龙的红包|时间段2|1月28日-2月1日
新春专属活动模式威龙的红包|时间段3|2月2日-2月4日
1月24日-1月27日|开启|威龙的红包模式-闪击
1月28日-2月1日|开启|威龙的红包模式-钢铁洪流
2月2日-2月4日|开启|威龙的红包模式-围攻
玩家|参与|威龙的红包模式
威龙的红包模式|限制|只能使用干员威龙
威龙的磁吸炸弹提示图标|变为|红包
完成活动任务|可获得|步战车-酒红
集市电子科技|时间|1月23日-2月14日
集市电子科技|开启|全新集市
活动期间|可用限定杂物|兑换MK-2战术背心
活动期间|可用限定杂物|兑换GT1战术头盔
活动期间|可用限定杂物|兑换M157智能瞄具
集市电子科技|提供|8种战备物资
喜迎新春周末活动|时间|1月24日-1月26日
喜迎新春周末活动|内容|双模式登录完成简单对局
完成简单对局|可领取|标准制式装备券
完成简单对局|可领取|精锐制式装备券
完成简单对局|可领取|军功倍增卡
完成简单对局|可领取|武器高级经验卡
每晚20:00-22:00|开启|全面战场晋升之路双倍军功
双倍军功|助力|段位冲刺
洲末品枪活动|时间|1月24日-1月26日
洲末品枪活动|品鉴|QCQ171冲锋枪
双模式完成枪械挑战|可领取|QCQ171冲锋枪
双模式完成枪械挑战|可领取|物流凭证
双模式完成枪械挑战|可领取|武器高级经验卡
哈夫币商城|时间|1月24日-1月30日
玩家|使用哈夫币|
