三角洲行动|新增|十个收藏品
十个收藏品|每个|都有独特的属性
玩家们|可以|前往地图指定位置寻找收藏品
ECMO|物品属性|医疗道具，9格红
ECMO|物品产量|和复苏呼吸机相当
ECMO|产出位置|航天基地和长弓溪谷
“钻石”鱼子酱|物品属性|家居物品，1格红
“钻石”鱼子酱|物品产量|比名贵机械表低
“钻石”鱼子酱|产出位置|航天基地和长弓溪谷
心脏支架|物品属性|医疗道具，2格金
心脏支架|物品产量|和紫外线灯相当
心脏支架|产出位置|航天基地和长弓溪谷
“蓝宝石”龙舌兰|物品属性|家居物品，2格金
“蓝宝石”龙舌兰|物品产量|略低于燃料电池
“蓝宝石”龙舌兰|产出位置|航天基地和长弓溪谷
珠宝头冠|物品属性|工艺藏品，3格金
珠宝头冠|物品产量|和6格本地特色首饰相当
珠宝头冠|产出位置|航天基地和长弓溪谷
荷美尔陶俑|物品属性|工艺藏品，2格金
荷美尔陶俑|物品产量|和燃料电池相当
荷美尔陶俑|产出位置|航天基地和长弓溪谷
卫星电话|物品属性|电子物品，2格金
卫星电话|物品产量|和镜头相当
卫星电话|产出位置|航天基地和长弓溪谷
生化培养箱|物品属性|医疗道具，4格紫
生化培养箱|物品产量|略高于4格离心机
生化培养箱|产出位置|航天基地和长弓溪谷
鳄鱼蛋|物品属性|家居物品，1格紫
鳄鱼蛋|物品产量|略高于4格胶囊咖啡机套组
鳄鱼蛋|产出位置|航天基地和长弓溪谷
马赛克台灯|物品属性|工艺藏品，6格紫
马赛克台灯|物品产量|和6格仪典匕首相当
马赛克台灯|产出位置|航天基地和长弓溪谷
3DM小编|整理|《三角洲行动》s4新收藏品获取方法
玩家们|可以|通过收藏品获取方法获得新收藏品
收藏品|主要产出位置|航天基地和长弓溪谷
