《三角洲行动》物资室铁门任务|流程|比较短
玩家|需要|按照指定顺序找到目标道具
玩家|需要|完成相关剧情
完成相关剧情|获得|奖励
部分小伙伴|对具体操作|不太了解
小编|和玩家|一起查看《三角洲行动》物资室铁门任务攻略
《三角洲行动》物资室铁门任务攻略|步骤1|使用C4炸开西楼一楼楼梯拐角处的铁门
玩家|使用|C4炸开西楼一楼楼梯拐角处的铁门
《三角洲行动》物资室铁门任务攻略|步骤2|击败附近看守的敌人
玩家|击败|附近看守的敌人
《三角洲行动》物资室铁门任务攻略|步骤3|在门口等C4炸开铁门后进入房间搜索
玩家|等待|C4炸开铁门
玩家|进入|房间搜索
《三角洲行动》物资室铁门任务攻略|步骤4|依次拿取电脑、墙上的衣服、房卡、手提箱、机箱、服务器和武器箱
玩家|拿取|电脑
玩家|拿取|墙上的衣服
玩家|拿取|房卡
玩家|拿取|手提箱
玩家|拿取|机箱
玩家|拿取|服务器
玩家|拿取|武器箱
拿取电脑、墙上的衣服、房卡、手提箱、机箱、服务器和武器箱|完成|任务
3DM小编|整理|物资室铁门任务攻略
更多相关游戏攻略|发布|3DM手游网
本文内容|来源|互联网
如有侵权|请联系|删除
