三角洲行动无名|属于|反侦察型角色
无名|具有|一定的隐身能力
无名|在实战中|较为受玩家欢迎
无名|的核心输出手段是|无人机
无人机|炸到人|非常疼
无人机伤害|相当于|干满红狼一次手炮
无人机|能|直接碎甲
无人机|是|破进攻的神器
无人机|提前锁定时|能自动飞向敌人
锁定时间|太长|实战中基本没机会用
无人机|使用方式|像丢飞盘一样
无人机|碰到墙|会回弹
无人机|回弹后|1.5秒后炸开
无人机爆炸|如果附近有人|也会直接炸
遇到敌人在掩体后|无人机|高抛过去能炸到
投掷物闪光弹|是|重量级投掷物
闪光弹|效果是|让视野全黑约2秒
闪光弹|扔得太近|会闪到自己和队友
无名大招|效果是|降低脚步声并提升移速25秒
敌人屏幕两端|会有|无名开大提示
50米内的人|能|知道无名开大了
对面侦察技能|只能看见|无名开大位置
无名大招|适合|队友负责正面交锋，自己快速绕后
无名被动技能|效果是|让对面回血救人变慢
无名|适合|团队猛攻
无名所有技能|设计目的|为队伍创造进攻机会
无名|适合|投掷物丢得准、地图熟悉会绕的玩家
3DM小编|整理|三角洲行动无名实战操作技巧
本文内容|来源于|互联网
