三角洲行动|推出了|全新的任务春雷行动
春雷行动|包含任务|春雷行动1
春雷行动|包含任务|春雷行动2
春雷行动|包含任务|春雷行动3
春雷行动|包含任务|春雷行动4
春雷行动|包含任务|春雷行动5
春雷行动|包含任务|春雷行动6
春雷行动|包含任务|春雷行动7
春雷行动1|任务内容|在任意机密、绝密行动中击败5名敌方士兵
春雷行动2|任务内容|上交一把指定改装的SCAR-H战斗步枪
SCAR-H战斗步枪|改装配件|激光指示器和瞄准镜
春雷行动3|任务内容|在任意机密、绝密行动中使用后坐力控制≥50的突击步枪击败一名敌方干员
后坐力控制≥50|适用武器|突击步枪
春雷行动3|可与任务|春雷行动7一起完成
春雷行动4|任务内容|上交指定改装的Vector冲锋枪
Vector冲锋枪|后坐力控制|≥55
Vector冲锋枪|操控速度|≥65
Vector冲锋枪|改枪码|烽火地带-6F3PJFG010GC7S09CBOQP
春雷行动5|任务内容|在任意机密、绝密行动中使用精度≥99的冲锋枪击败一名敌方干员
冲锋枪|精度|≥99
春雷行动6|任务内容|上交指定改装的M416突击步枪
M416突击步枪|后坐力控制|≥65
M416突击步枪|操控速度|≥55
M416突击步枪|改枪码|烽火地带-6F3PJOO010GC7S09CBOQP
春雷行动7|任务内容|在任意机密、绝密行动中使用操控速度≥60的突击步枪击败一名敌方干员
突击步枪|操控速度|≥60
春雷行动7|可与任务|春雷行动3一起完成
3DM小编|整理|春雷行动任务攻略
春雷行动任务攻略|发布于|3DM手游网
本文内容|来源于|互联网
本文内容|如有侵权|请联系删除
