三角洲行动|包含地图|攀升
攀升地图|难度|进攻方较高
玩家|想知道|三角洲行动全面战场攀升A点怎么打
小编|提供|三角洲行动全面战场攀升A点进攻打法攻略
A点|位于|山谷中的三岔路口
A点|周围环境|崇山峻岭
A点|地形特征|无遮无拦的小空地
进攻方|需要控制|A点两侧的高地
进攻方|特别需要控制|A点左侧高地
防守方|禁止进入|A点左侧高地大部分区域
进攻方|只有从|A点左侧山坡开场登陆才能获得坦克使用权
进攻路线|包括|上路、中路、右路
上路|作用|掩护己方坦克
上路|作用|配合队友夺取A点左侧山头
中路|作用|直接从正面攻占A点
右路|作用|清理地图边缘的狙击手
右路|作用|寻找机会绕后骚扰进攻方出生点
坦克出生点|位置|山坡下有一个小石头
坦克出生点|适合|架枪观察对面情况
坦克出生点|常被|防守方老六利用
对面石头|重要性|对攻守双方都至关重要
对面石头|位置|处于A点山头侧后方
控制对面石头|作用|对A点后方进行攻击
控制对面石头|作用|帮助己方坦克清理防守方反载具力量
对面石头|风险|防守方AA防空车频繁出没
建议|与威龙、牧羊人和医疗兵|一同走对面石头路线
3DM小编|整理|三角洲行动全面战场攀升A点进攻打法攻略
更多游戏攻略|发布于|3DM手游网
