三角洲行动|包含任务|黑潮之下调查任务
黑潮之下调查任务|要求|玩家调查15个阿萨拉护卫队旗帜
玩家|调查|15个阿萨拉护卫队旗帜
15个阿萨拉护卫队旗帜|分布于|多个具体位置
调查任务|可能遇到|旗帜不显示问题
旗帜不显示问题|解决方法|靠近后显示调查图标，调查即可
旗帜位置|包括|水泥厂、军营、变电站、行政楼、养护站、游客中心
水泥厂|旗帜位置|北门口梁上
水泥厂|旗帜位置|进门左手边房子墙
水泥厂|旗帜位置|地下通道门口墙
水泥厂|旗帜位置|办公室门口墙
水泥厂|旗帜位置|主楼下边墙
水泥厂|旗帜位置|宿舍楼墙上
水泥厂|旗帜位置|隔壁房子墙上
军营|旗帜位置|上二楼楼梯口
军营|旗帜位置|左边集装箱
军营|旗帜位置|右边水泥墙
军营|旗帜位置|进军营二楼隔断处正反面
军营|旗帜位置|最里边墙上
军营|旗帜位置|一楼两个隔断处各一个
军营|旗帜位置|二楼墙外
军营|旗帜位置|南门瞭塔
变电站|旗帜位置|小电出口处墙边
变电站|旗帜位置|大电主楼左边墙
变电站|旗帜位置|变压器围栏一个
行政楼|旗帜位置|停车场围栏外上边一个
行政楼|旗帜位置|停车场围栏外右边一个
养护站|旗帜位置|上下房子墙上各一个
养护站|旗帜位置|上边第二个滑索铁栏正反面各一次
游客中心|旗帜位置|北边墙外
游客中心|旗帜位置|炮兵脚下墙
游客中心|旗帜位置|东门口围墙内左右各一个
游客中心|旗帜位置|南门口右手边墙内
3DM小编|整理|黑潮之下任务攻略
黑潮之下任务攻略|发布于|3DM手游网
本文内容|来源|互联网
如有侵权|处理方式|联系删除
