三角洲行动|有|众多武器可以选择
玩家|能够|对武器缺点进行改装
改装|可以|提升武器性能
改装|可以|适应不同战斗需求
改装|可以调整|武器的射程
改装|可以调整|武器的精度
改装|可以调整|武器的操控性
玩家|问|三角洲行动野牛冲锋枪怎么改
野牛冲锋枪|枪管|野牛实用标准枪管
野牛实用标准枪管|能够改善|射程
野牛实用标准枪管|能够改善|枪口初速度
野牛实用标准枪管|能够控制|后坐力
改善射程和枪口初速度以及控制后坐力|能够强化|火力输出的持续性
野牛冲锋枪|弹匣|野牛64发弹筒
野牛64发弹筒|能够提高|子弹容量
提高子弹容量|能够避免|频繁换弹
野牛冲锋枪|后握把|稳定ak后握把
稳定ak后握把|能够提升|后坐力控制效果
野牛冲锋枪|枪托|精英轻型枪托
精英轻型枪托|能够控制|后坐力
精英轻型枪托|能够增加|举镜瞄准时移速
精英轻型枪托|能够减轻|重量
减轻重量|能够提高|机动性
野牛冲锋枪|瞄具|微型瞄具增高支架
微型瞄具增高支架|用于|抬高瞄准基线
野牛冲锋枪|瞄具|全景红点瞄准镜
全景红点瞄准镜|适合|近距离战斗
野牛冲锋枪|枪口|钢制膛口直推器
钢制膛口直推器|在后坐力控制方面|表现不错
钢制膛口直推器|可以换成|消音器
消音器|能够掩盖|射击声音
3DM小编|整理|《三角洲行动》野牛冲锋枪改装推荐
更多相关游戏攻略|请关注|3DM手游网
