三角洲行动|医疗包配置|高性价比
医疗包|配置地点|零号大坝
医疗包|配置地点|巴克什
医疗包|配置目的|战斗时保持更好状态
医疗包|包含|户外医疗箱
医疗包|包含|DEK手术包
医疗包|包含|大止疼药
医疗包|包含|CAT止血带
医疗包|包含|两份强效注射器
CAT止血带|用途|应对多层流血状态
多层流血|层数|三四层
手术包|清除debuff|速度慢
CAT止血带|清除流血|2秒清掉一层
强效注射器|配合|CAT止血带一起使用
止疼药buff|作用|保持不中断
户外医疗箱|消耗|25耐久
户外医疗箱|提供|半分钟止疼效果
强效注射器|启动速度|最快
强效注射器|使用时机|血量低于30
强效注射器|效果|快速补满状态
五种药品|装载方式|用两万子弹挂
五种药品|不需要|2×2壳子
不建议|使用|小20万大药包
不建议|使用|大手术包
省钱配置|替换|DEK手术包为快拆手术包
快拆手术包|装载方式|用价值一万的G01子弹挂
全部药品|总花费|近11万
省钱配置|性价比|高于大药包
最省钱配置|包含|蜂医
最省钱配置|包含|3个止疼药
最省钱配置|包含|1个手术包
蜂医|作用|回血
蜂医|缺点|没有远程攻击
蜂医|优势|快速回复
双方换弹|我方|用蜂医快速回复
我方|状态|满血
对面|状态|大残血
结果|明显|我方优势明显
3DM小编|整理|三角洲行动医疗包高性价比配置
更多攻略|发布平台|3DM手游网
本文内容|来源|互联网
