三角洲行动|包含|长弓溪谷大金
长弓溪谷大金|位置|餐厅服务台
餐厅服务台|配备|电脑
餐厅服务台|紧邻|奥莉薇娅牌香槟
长弓溪谷大金|位置|能源中心
能源中心|位于|变电站内部
变电站内部|电脑桌面上有|中央贵宾室通行证
长弓溪谷大金|位置|雷达阵地守卫
雷达阵地守卫|身份|哈夫克重机枪兵
击毙哈夫克重机枪兵|获得|军用通讯设备
长弓溪谷大金|位置|餐厅之巅
餐厅之巅|位于|酒店餐厅屋顶
餐厅之巅|有|火箭兵守卫
击败火箭兵守卫|获得|组装车间二楼实验室准入卡
长弓溪谷大金|位置|储藏室入口
储藏室入口|墙壁上挂有|白色衣物
搜寻白色衣物|获得|酒店王子客房卡
长弓溪谷大金|位置|废弃村落撤离点
废弃村落撤离点|桌子上放置|燃料电池
燃料电池|可供|拾取
长弓溪谷大金|位置|雷达站上层
雷达站上层|位于|雷达站第三层
雷达站上层|架子附近有|航空铝箱
搜寻航空铝箱|获得|防弹背心
长弓溪谷大金|位置|酒店防御者
酒店防御者|位于|酒店走廊
击败酒店走廊机枪兵|获得|浮力治疗室医疗间通行卡
长弓溪谷大金|位置|旧址底层
旧址底层|位于|旧址一楼地面
旧址底层|有|黄色衣服
搜寻黄色衣服|获得|酒店黑桃房间卡
长弓溪谷大金|位置|酒店地下通道
酒店地下通道|位于|酒店方片房间后方
酒店地下通道|隐藏|井盖
检查井盖|找到|高品质子弹零件
长弓溪谷大金|位置|雷达站二层
雷达站二层|有|沙发
沙发上|可找到|设计蓝图
沙发上|可找到|军事情报照片
长弓溪谷大金|位置|雷达站入口警卫室
雷达站入口警卫室|有|绿色箱子
打开绿色箱子|获得|燃料电池
长弓溪谷大金|位置|雷达站主入口
雷达站主入口|位于|雷达站主楼正门上方
雷达站主入口|堆放|医疗物资
搜寻医疗物资|获得|呼吸机
3DM小编|整理|长弓溪谷大金位置攻略
长弓溪谷大金位置攻略|发布于|3DM手游网
