三角洲行动|是一款|第一人称枪战类游戏
玩家|可以驾驶|不同的载具进行战斗
AH-1035D突击直升机|是一种|重型武装直升机
AH-1035D突击直升机|拥有|强悍的对地火力
AH-1035D突击直升机|可以|快速摧毁地面载具
炮手|协作时|AH-1035D突击直升机可以有效压制敌方步兵
AH-1035D突击直升机|需要小心|防空载具和步兵防空武器
玩家|可以使用|热诱弹和机动规避防空武器
全地形车|是一种|越野性能很好的四轮摩托车
全地形车|缺乏|有效保护性
全地形车|具有|小巧的尺寸
全地形车|可以|在复杂地形中灵活穿梭
全地形车后座乘客|可以|使用自己的武器进行攻击
LAV-G1步战车|是一种|8轮步战车
LAV-G1步战车|拥有|良好的通过性
LAV-G1步战车|配备|高射速机炮和丰富的武器站
LAV-G1步战车|可以|对载具和步兵造成有效杀伤
LAV-G1步战车|拥有|主动防御系统
主动防御系统|提升了|LAV-G1步战车的战场生存能力
满编的LAV-G1步战车|才能|发挥强悍的火力
LAV-AA防空车|与|步战车共用车体
LAV-AA防空车|配备|高射速机炮和防空导弹
LAV-AA防空车|可以|有效针对敌方空中载具
防空机炮|可以|对敌方步兵造成有效杀伤
突击车|是一种|轻型装甲运输载具
突击车|可以|保护乘员免受步兵普通枪械伤害
突击车顶部|装备|武器站
突击车武器站|可以|对敌方步兵造成大量伤害
突击车|能够|利用机动性接近敌方位置放置重生信标
重生信标|可以|将己方步兵快速部署到指定位置
3DM小编|整理了|三角洲行动载具一览
更多游戏攻略|请关注|3DM手游网
本文内容|来源于|互联网
