9x39mm口径弹药|按照穿透等级划分|三种类型
三种类型|包括|9x39mm SP5
三种类型|包括|9x39mm SP6
三种类型|包括|9x39mm BP
9x39mm SP5|穿透等级|3级弹
9x39mm SP6|穿透等级|4级弹
9x39mm BP|穿透等级|5级弹
9x39mm弹药|主要区别|对护甲的穿透效果不同
穿透等级越高的弹药|护甲伤害衰减|越小
穿透等级越高的弹药|对护甲的磨损能力|越强
9x39mm BP|对护甲的伤害能力|最高
9x39mm BP|面对1~6级护甲|造成110%的甲伤
9x39mm SP5|购买方式|交易行购买
9x39mm SP5|兑换条件|行动等级达到12级时可在战术部门兑换
9x39mm SP6|获取方式|交易行购买和生产获取
9x39mm BP|获取方式|交易行购买和生产获取
9x39mm弹药|适用武器|VSS射手步枪
9x39mm弹药|适用武器|SR-3M紧凑突击步枪
9x39mm弹药|适用武器|AS-Val突击步枪
VSS射手步枪|枪机结构和原理|与SR-3M和AS-Val一致
SR-3M紧凑突击步枪|枪机结构和原理|与VSS和AS-Val一致
AS-Val突击步枪|枪机结构和原理|与VSS和SR-3M一致
SR-3M紧凑突击步枪|优势射程|19米
AS-Val突击步枪|优势射程|27米
SR-3M紧凑突击步枪|腰际射击精度|一流水准
SR-3M紧凑突击步枪|操控速度|一流水准
SR-3M紧凑突击步枪|适合|近距离交火
SR-3M紧凑突击步枪|特点|高单发伤害和冲锋枪射速机动性
SR-3M紧凑突击步枪|作用|突击位干员突破效果更好
AS-Val突击步枪|腰际射击精度|略逊色于SR-3M
AS-Val突击步枪|操控速度|略逊色于SR-3M
AS-Val突击步枪|基础伤害|逊色于SR-3M
AS-Val突击步枪|射速|远超SR-3M
AS-Val突击步枪|优势射程|略高于SR-3M
AS-Val突击步枪|枪声传播距离|100米
AS-Val突击步枪|优势|不惊动远处敌人快速结束战斗
VSS射手步枪|护甲伤害|与SR-3M相同
VSS射手步枪|基础伤害|略逊色于SR-3M
VSS射手步枪|优势射程|120米
VSS射手步枪|弹药属性|微声弹药隐匿属性
VSS射手步枪|适用场景|特种作战
9x39mm弹药|特点|适合隐藏使用者踪迹
9x39mm弹药|改装风格|根据战局不同各有特色
《三角洲行动》9x39mm口径家族武器进阶攻略|来源|3DM手游网
本文内容|来源|互联网
