三角洲行动|包含武器|191式突击步枪
191式突击步枪|需要|适合的配件搭配
191式突击步枪|搭配枪管|191式蛟龙战术长枪管
191式蛟龙战术长枪管|增加|射程
191式蛟龙战术长枪管|增加|精准度
射程和精准度|提升|中远距离作战优势
191式突击步枪|搭配导气系统|不携带配件
不携带配件|保持|不错的平衡性
不携带配件|不增加|额外重量
不携带配件|保持|不错的射速
不携带配件|保持|协调性
191式突击步枪|搭配枪口|堡垒水平补偿器
堡垒水平补偿器|减少|水平后坐力
堡垒水平补偿器|增加|控枪效果
控枪效果|使|武器战斗中更加稳定
191式突击步枪|搭配前握把|密令斜角握把
密令斜角握把|增加|瞄准速度
密令斜角握把|增加|精准度
增加的瞄准速度和精准度|提升|射击效果
191式突击步枪|搭配后握把|新式尖兵轻型握把
新式尖兵轻型握把|提升|操作手感
新式尖兵轻型握把|增加|射击稳定性
新式尖兵轻型握把|加快|切换目标速度
新式尖兵轻型握把|加快|移动射击速度
191式突击步枪|搭配枪托|侵掠核心枪托
侵掠核心枪托|提供|稳定性
侵掠核心枪托|提供|灵活性
侵掠核心枪托|降低|瞄准晃动
3DM小编|整理|三角洲行动191式突击步枪搭配攻略
更多游戏攻略|发布于|3DM手游网
本文内容|来源于|互联网
