三角洲行动|举办|2025情人节主题活动
2025情人节主题活动|有效期内|完成任务积攒三角券或三角币
完成任务积攒三角券或三角币|可兑换|各种枪械道具和子弹
甜心子弹捆绑包|活动时间|2月14日0点至3月13日24点
甜心子弹捆绑包|包含内容|甜心子弹-AUG突击步枪
甜心子弹捆绑包|包含内容|M14射手步枪
甜心子弹捆绑包|包含内容|M249轻机枪
甜心子弹捆绑包|包含内容|甜心子弹系列军牌
甜心子弹捆绑包|包含内容|头像
甜心子弹捆绑包|包含内容|喷漆
甜心子弹捆绑包|获得方式|使用1500三角券/三角币兑换
元宵补给（双模式）|活动时间|2月12日0点至2月20日24点
元宵补给（双模式）|活动说明|参与对局可领取节日限定奖励
元宵补给（双模式）|活动说明|组队战斗可更快完成
元宵补给（双模式）|活动奖励|物流凭证*10
元宵补给（双模式）|活动奖励|心之箭头像/军牌/喷漆一套
洲末开红（烽火地带）|活动时间|2月14日0点至2月16日24点
洲末开红（烽火地带）|活动规则|参与周末活动领取焰火周末幸运补给包*3
洲末开红（烽火地带）|活动规则|有机会获得“天圆地方”、“纵横”等全新红色物品
洲末开红（烽火地带）|活动奖励|焰火周末幸运补给包
洲末有米（烽火地带）|活动时间|2月14日0点至2月16日24点
洲末有米（烽火地带）|活动说明|开局无压力
洲末有米（烽火地带）|活动说明|周末三天每天登录领标准制式装备券
洲末有米（烽火地带）|活动奖励|标准制式装备券
夺旗行动(全面战场)|活动时间|2月14日0点至2月20日24点
夺旗行动(全面战场)|活动说明|全新活动玩法夺旗模式开放
夺旗行动(全面战场)|活动说明|本周开放烬区和堑壕战地图
夺旗行动(全面战场)|活动说明|完成相应任务即可获取奖励
夺旗行动(全面战场)|活动奖励|物流凭证
夺旗行动(全面战场)|活动奖励|军功倍增卡
夺旗行动(全面战场)|活动奖励|武器高级经验卡
洲末上分(全面战场)|活动时间|2月14日0点至2月16日24点
洲末上分(全面战场)|活动说明|完成任务即可领取军功倍增卡等奖励
洲末上分(全面战场)|活动说明|周六周日晚20-22点开启晋升之路双倍军功
洲末上分(全面战场)|活动奖励|军功倍增卡
洲末上分(全面战场)|活动奖励|全面战场经验倍增卡
洲末上分(全面战场)|活动奖励|武器高级经验卡
洲末畅玩（全面战场）|活动时间|2月14日0点至2月16日24点
洲末畅玩（全面战场）|活动说明|周末三天每天登录领武器高级经验卡
洲末畅玩（全面战场）|活动奖励|武器高级经验卡
哈夫币商城（烽火地带）|活动时间|2月14日0点至2月20日24点
哈夫币商城（烽火地带）|活动说明|活动期间可使用哈夫币购买量子密钥、物流凭证、安全箱权限卡
哈夫币商城（烽火地带）|活动奖励|进阶安全箱7天权限卡
哈夫币商城（烽火地带）|活动奖励|量子密钥
