《三角洲行动》S3焰火赛季红鼠窝竞技场|是|游戏攻略
玩家|进入|竞技场玩法
玩家|需要|选择角色
小编|介绍|角色选择攻略
单排推荐选择|包括|乌鲁鲁
单排推荐选择|包括|深蓝
单排推荐选择|包括|威龙
单排推荐选择|包括|红狼
单排推荐选择|包括|蛊
单排推荐选择|包括|露娜
单排推荐选择|包括|骇爪
单排推荐选择|包括|蜂医
单排推荐选择|包括|牧羊人
TOP1|包含|乌鲁鲁
TOP1|包含|深蓝
TOP1|包含|威龙
TOP2|包含|红狼
TOP2|包含|蛊
TOP2|包含|露娜
TOP2|包含|骇爪
TOP3|包含|蜂医
TOP3|包含|牧羊人
三排推荐阵容(快乐玩法)|包含|3个乌鲁鲁
3个乌鲁鲁|特点|燃烧弹和巡航弹火力覆盖
三排推荐阵容(快乐玩法)|包含|2个乌鲁鲁和1个露娜
露娜|作用|探查视野
乌鲁鲁|作用|精准制导
三排推荐阵容(快乐玩法)|包含|2个威龙和1个红狼
威龙|配合|红狼开大贴C4行走炸弹
三排推荐阵容(快乐玩法)|包含|2个深蓝和1个威龙
2个深蓝和1个威龙|玩法|钩人流
3DM小编|整理|《三角洲行动》S3焰火赛季红鼠窝竞技场角色选取攻略
更多游戏攻略|发布于|3DM手游网
本文内容|来源于|互联网
如有侵权|请|联系删除
