三角洲行动|包含|S4赛季新收藏物品
S4赛季新收藏物品|包括|“钻石”鱼子酱
S4赛季新收藏物品|包括|ECMO
S4赛季新收藏物品|包括|心脏支架
S4赛季新收藏物品|包括|“蓝宝石”龙舌兰
S4赛季新收藏物品|包括|珠宝头冠
S4赛季新收藏物品|包括|荷美尔陶俑
S4赛季新收藏物品|包括|卫星电话
S4赛季新收藏物品|包括|生化培养箱
S4赛季新收藏物品|包括|鳄鱼蛋
S4赛季新收藏物品|包括|马赛克台灯
“钻石”鱼子酱|价值|50w左右
“钻石”鱼子酱|体积|1格
ECMO|价值|600w左右
ECMO|体积|9格
心脏支架|价值|18w左右
心脏支架|体积|2格
“蓝宝石”龙舌兰|价值|18w左右
“蓝宝石”龙舌兰|体积|2格
珠宝头冠|价值|30w左右
珠宝头冠|体积|3格
荷美尔陶俑|价值|20w左右
荷美尔陶俑|体积|2格
卫星电话|价值|20w左右
卫星电话|体积|2格
生化培养箱|价值|13w左右
生化培养箱|体积|4格
鳄鱼蛋|价值|3w左右
鳄鱼蛋|体积|1格
马赛克台灯|价值|25w左右
马赛克台灯|体积|6格
ECMO|是|本次最贵收藏物品
3DM小编|整理|S4赛季新收藏物品一览
更多相关游戏攻略|发布于|3DM手游网
本文内容|来源于|互联网
如有侵权|请联系|删除
