三角洲行动|包含|新干员无名
无名|是|反侦察型突击干员
无名|技能核心|潜行骚扰
无名|终极技能|寂静无声
寂静无声|效果|隐身
寂静无声|效果|免疫侦查
无名|适合|敌后扰乱
无名|适合|精准刺杀
无名|被动技能|扩大伤势
扩大伤势|效果|被无名攻击的敌人使用医疗包、复活装置等恢复道具速度显著降低
扩大伤势|效果|在大战场模式中减缓呼吸回血效率
扩大伤势|战术意义|持续削弱敌方战力
持续削弱敌方战力|作用|为团队争取推进时间
持续削弱敌方战力|作用|为团队争取反制时间
无名|战术道具|旋刃飞行器
旋刃飞行器|锁定模式|投掷后自动追踪敌人
旋刃飞行器|爆炸条件|接触目标或1.5秒延迟后爆炸
旋刃飞行器|爆炸效果|造成范围伤害
旋刃飞行器|爆炸效果|附加流血效果
旋刃飞行器|背后锁定|大幅缩短锁定时间
背后锁定|效果|强化突袭效率
旋刃飞行器|无锁定模式效果|撞墙爆炸
撞墙爆炸|适合|封锁路径
撞墙爆炸|适合|清理隐蔽敌人
无名|战术道具|突破型闪光弹
突破型闪光弹|类型|常规闪光弹
突破型闪光弹|爆炸条件|撞墙后爆炸
突破型闪光弹|爆炸效果|对范围内敌人造成短暂致盲效果
突破型闪光弹|适合|扰乱敌方阵型
突破型闪光弹|适合|掩护突进
无名|终极技能|静默潜袭
静默潜袭|效果|缩小自身声音传播范围
静默潜袭|效果|降低AI警戒概率
静默潜袭|效果|免疫敌方侦查道具扫描
敌方侦查道具|示例|骇爪
敌方侦查道具|示例|露娜的扫描技能
