三角洲行动|包含|非常多的武器
不同的武器|带来|不同的作用效果
勇士冲锋枪|凭借|出色的泛用性
勇士冲锋枪|能做|一定范围内大放异彩
勇士冲锋枪|被称为|冲锋枪中的“中庸之道”
勇士冲锋枪|基础射程|20米
勇士冲锋枪|射速|700RPM
勇士冲锋枪|基础伤害|25点
勇士冲锋枪|爆头伤害|47点
勇士冲锋枪|在20米内击倒敌人|需4枪或爆头3枪
勇士冲锋枪|TTK|在257ms到171ms之间
勇士冲锋枪|配装理念|均衡理念
均衡理念|目标|让勇士冲锋枪成为冲锋枪里的万金油
勇士冲锋枪|配枪代码|勇士冲锋枪-全面战场-6EMN3K0064DU5TFLJ691H
枪管|可选|战术枪管
枪管|舍弃|海狸枪管
海狸枪管|缺点|大幅降低开镜速度
强化配件|理想选择|沙暴垂直补偿器
强化配件|理想选择|CR棱镜阻手器
沙暴垂直补偿器|作用|优化勇士冲锋枪的垂直后坐力
CR棱镜阻手器|作用|提升据枪稳定性
CR棱镜阻手器|负面效果|微乎其微
勇士冲锋枪|配备弹匣容量|45发
玩家|可根据习惯|决定是否使用扩容弹匣
不使用扩容弹匣|开镜速度|247ms
不使用扩容弹匣|跑射延迟|83ms
不使用扩容弹匣|战术效果|开镜即打、打完即走
使用扩容弹匣|开镜速度|增加约30ms
使用扩容弹匣|跑射延迟|增加约30ms
玩家|需|自行权衡是否使用扩容弹匣
3DM小编|整理|《三角洲行动》勇士冲锋枪介绍
3DM手游网|持续更新|更多精彩内容
本文内容|来源|互联网
如有侵权|请|联系删除
