《三角洲行动》航天基地大金物品|具有|较高的经济和收藏价值
玩家|可以通过|保险箱获得航天基地大金物品
玩家|可以通过|完成指定任务获得航天基地大金物品
玩家|可以通过|探索获得航天基地大金物品
组装室轨道|位置|黄色的轨道处
玩家|在组装室轨道获得|火箭燃料
浮力室医务间免费房|位置|进门并右转的角落
玩家|在浮力室医务间免费房获得|卫星天线
黑室小保险旁边航空箱|包含|航空储物箱
玩家|开启黑室小保险旁边航空箱获得|曼德尔超算单元
飞升者任务|位置|地图中
玩家|完成飞升者任务获得|实验数据
三仓外武器箱|颜色|绿色
玩家|打开三仓外武器箱获得|军用炮弹
飞升者火箭仓|位置|火箭仓
玩家|搜索飞升者火箭仓获得|军用望远镜
玩家|搜索飞升者火箭仓获得|实验数据
玩家|搜索飞升者火箭仓获得|笔记本电脑
总裁室保险箱任务|完成后|可在保险箱中获得军用雷达
组装室2楼白衣服|位置|组装室2楼
玩家|搜索组装室2楼白衣服获得|实验数据
玩家|搜索组装室2楼白衣服获得|纯净打火机
黑室和蓝室中间航空箱|位置|黑室和蓝室中间
玩家|在黑室和蓝室中间航空箱获得|摄影机
黑室二楼机箱|位置|黑室二楼桌子下方
玩家|搜索黑室二楼机箱获得|显卡
蓝室梯子下面保险箱|位置|蓝室梯子下面
玩家|开启蓝室梯子下面保险箱获得|滑膛枪
中控三楼钥匙房|位置|中控三楼
玩家|开启中控三楼钥匙房并搜索衣服获得|军用终端
中控二楼保险箱|位置|中控二楼
玩家|开启中控二楼保险箱获得|怀表
3DM小编|整理|航天基地大金位置攻略
更多相关游戏攻略|发布于|3DM手游网
本文内容|来源于|互联网
