三角洲行动|包含角色|阿列克谢
阿列克谢|是|新干员
阿列克谢|技能|后方防护（被动技能）
阿列克谢|技能|刀片刺网手雷（投掷物）
阿列克谢|技能|多功能爪钩枪（战术道具）
阿列克谢|技能|防爆套装（大招）
后方防护|特点|背后有折叠式防爆盾
折叠式防爆盾|功能|保护背部免受部分后方攻击
后方防护|效果|减少受到的伤害
后方防护|限制|腿部可能暴露在外
后方防护|不足|对中远程威胁仍需谨慎防范
刀片刺网手雷|投掷后|在地面生成监测陷阱
监测陷阱|效果|敌人经过时受到伤害并附带流血负面效果
监测陷阱|效果|敌人经过时被减速
监测陷阱|效果|敌人经过时发出蹭铁丝网的声音暴露位置
监测陷阱|效果|友方经过时只受到减速效果
监测陷阱|特性|可被破坏
刀片刺网手雷|适用场景|防守时限制敌人行动
多功能爪钩枪|功能1|快速拉至高地
多功能爪钩枪|功能2|抓取倒地的敌人和物资箱
倒地敌人|限制|已经死亡或倒地的敌人无法被拉取
多功能爪钩枪|效果|拉动目标期间敌人处于强控状态
强控状态|效果|敌人动弹不得
强控状态|作用|为阿列克谢和队友创造绝佳输出时机
防爆套装|启动后|防爆盾展开抵挡所有子弹
防爆套装|效果|减少本人受到的子弹和爆炸伤害
防爆套装|缺点|观察窗耐久有限，受伤后可能被击破
防爆套装|限制|防爆状态下无法使用武器
防爆套装|攻击方式|只能通过盾击进行攻击
盾击攻击|效果|类似威龙火箭炮
盾击攻击|效果|能够击倒敌人并造成少量伤害
盾击攻击|效果|可以弹开投掷物（飞刀、手雷等）
阿列克谢|技能介绍来源|3DM手游网
3DM手游网|提供|三角洲行动阿列克谢技能介绍
本文|来源|互联网
