三角洲行动|包含|零号大坝地图
零号大坝地图|隐藏|多个珍贵奖励
珍贵奖励|包括|武器皮肤
珍贵奖励|包括|高级装备
M16专属皮肤|获取方式|前往行政楼探索高层绿色建筑
打开地图|操作|标记行政楼
抵达行政楼|操作|顺着外部梯子向上攀爬
进入绿色建筑内部|操作|拾取彩蛋物品
彩蛋物品|位置|房间角落
拾取彩蛋物品|获得|M16专属皮肤
5级背包|获取方式|游客中心附近下水道内触发任务
传送至游客中心|操作|朝左侧大马路方向移动
路边水泥管道|位置|下水道入口附近
跳入下水道|触发|炸弹任务事件
沿地窖深入|操作|出门后右转进入石堆下的井盖
使用炸弹|操作|炸开门禁
门禁后房间|藏有|5级背包奖励
P90专属皮肤|获取方式|奖励二路线下水道深处探索
进入奖励二下水道区域|操作|跟随墙面红色箭头指示与红光照明
抵达密码门|操作|输入密码【1470】解锁
成功进入密码门|获得|P90专属皮肤
五级防弹衣|获取方式|水泥厂工地地窖探索解密
打开地图|操作|前往水泥厂区域
进入水泥厂左侧工地地窖|操作|观察墙面符号提示
墙面符号提示|提供|密码【8510】
输入密码【8510】|解锁|隐藏房门
隐藏房门内|放置|五级防弹衣
拾取五级防弹衣|完成|本项奖励
3DM小编|整理|《三角洲行动》零号大坝隐藏奖励全收集
更多游戏攻略|发布于|3DM手游网
本文内容|来源|互联网
