三角洲行动|即将上线|猛攻节
猛攻节|开启时间|2025年4月29日-5月5日
活动期间|登录并完成任务|可免费领取史诗级武器外观【林中猎手】系列
【林中猎手】系列|包含|AKM突击步枪
【林中猎手】系列|包含|M1014霰弹枪
【林中猎手】系列|风格|硬核风涂装兼具实战美学
烽火地带|每局天降|5轮高价值保险小队
登录|可领取|14张精锐装备券
登录|可领取|7张标准装备券
全面战场|开启|霰弹乱斗模式
上线|可获得|14张军功保护卡
上线|可获得|7张军功倍增卡
完成累计登录及简单任务|必得|1800限时三角券
1800限时三角券|可用于|兑换商城传说外观及干员资源
完成累计登录及简单任务|可抽取|暴击补给包
暴击补给包|保底奖励|2倍奖励
猛攻节活动|联动|吴彦祖
吴彦祖联动|上线|传说外观【飞虎-威龙】
传说外观【飞虎-威龙】|采用|真人高精度面部扫描技术
传说外观【飞虎-威龙】|包含|专属语音
传说外观【飞虎-威龙】|包含|签名涂装及头像
传说外观【飞虎-威龙】|包含|军牌等红品质物资
参与活动|可获得|限定道具【吴彦祖之镜】
限定道具【吴彦祖之镜】|功能|化身“阿祖”并肩作战
3DM小编|整理|《三角洲行动》猛攻节开启时间介绍
更多相关游戏攻略|发布于|3DM手游网
