comment_id,comment,emotion,start_entity,path,final_score,emotion_w_score,sem_score,emotion_chain,rank
45,现在大战场就是垃圾中的垃圾，新干员以及新地图更是让三角洲💩上加脲一样难受,Disgust,三角洲,三角洲 融合 战地系列，逃离塔科夫等游戏特点,0.747044894695282,0.8,0.7338061,融合(✓)[Disgust],1
45,现在大战场就是垃圾中的垃圾，新干员以及新地图更是让三角洲💩上加脲一样难受,Disgust,三角洲,三角洲 是 腾讯游戏 逼氪 玩家,0.7311724090576172,0.45,0.8014655,是[Neutral] > 逼氪(✓)[Disgust],2
45,现在大战场就是垃圾中的垃圾，新干员以及新地图更是让三角洲💩上加脲一样难受,Disgust,三角洲,三角洲 是 腾讯游戏 旗下 三角洲 融合 战地系列，逃离塔科夫等游戏特点,0.7078390757242838,0.3333333333333333,0.8014655,是[Neutral] > 旗下[Neutral] > 融合(✓)[Disgust],3
46,从来不玩腾讯游戏,Disgust,腾讯游戏,腾讯游戏 逼氪 玩家,0.7601650094985962,0.8,0.75020623,逼氪(✓)[Disgust],1
46,从来不玩腾讯游戏,Disgust,腾讯游戏,腾讯游戏 旗下 三角洲 融合 战地系列，逃离塔科夫等游戏特点,0.6883824133872986,0.45,0.747978,旗下[Neutral] > 融合(✓)[Disgust],2
46,从来不玩腾讯游戏,Disgust,腾讯游戏,腾讯游戏 旗下 三角洲 是 腾讯游戏 逼氪 玩家,0.6668316761652628,0.3333333333333333,0.75020623,旗下[Neutral] > 是[Neutral] > 逼氪(✓)[Disgust],3
51,tx从来没有过自己想真真正正的做一款代表自己的游戏。三角洲行动缝合的那么多无非就是想试探玩家的喜好和反应，哪个模式玩的人多或者哪个模式氪金玩家多就着重更新和优化，至于其他模式就想起来更新一下，想不起来就算了，实际上还是cf和逆战的运营思维能赚钱就行，至于画质，玩法，优化这些都是次要，tx不缺游戏玩家，只要玩法多和门槛低，一段时间内根本不愁玩家数量，这段时间足够tx找好更新重点针对性更新，然后玩家和氪金数量上去就开始不做人，前期玩家是爷，后期策划是爷，后期反正我怎么更新都有人玩和氪金不舍得退以此循环，tx做游戏唯一能确定的就是门槛低,Disgust,三角洲,三角洲 融合 战地系列，逃离塔科夫等游戏特点,0.7738821840286255,0.8,0.7673527,融合(✓)[Disgust],1
51,tx从来没有过自己想真真正正的做一款代表自己的游戏。三角洲行动缝合的那么多无非就是想试探玩家的喜好和反应，哪个模式玩的人多或者哪个模式氪金玩家多就着重更新和优化，至于其他模式就想起来更新一下，想不起来就算了，实际上还是cf和逆战的运营思维能赚钱就行，至于画质，玩法，优化这些都是次要，tx不缺游戏玩家，只要玩法多和门槛低，一段时间内根本不愁玩家数量，这段时间足够tx找好更新重点针对性更新，然后玩家和氪金数量上去就开始不做人，前期玩家是爷，后期策划是爷，后期反正我怎么更新都有人玩和氪金不舍得退以此循环，tx做游戏唯一能确定的就是门槛低,Disgust,三角洲,三角洲 是 腾讯游戏 逼氪 玩家,0.7638514304161071,0.45,0.84231424,是[Neutral] > 逼氪(✓)[Disgust],2
51,tx从来没有过自己想真真正正的做一款代表自己的游戏。三角洲行动缝合的那么多无非就是想试探玩家的喜好和反应，哪个模式玩的人多或者哪个模式氪金玩家多就着重更新和优化，至于其他模式就想起来更新一下，想不起来就算了，实际上还是cf和逆战的运营思维能赚钱就行，至于画质，玩法，优化这些都是次要，tx不缺游戏玩家，只要玩法多和门槛低，一段时间内根本不愁玩家数量，这段时间足够tx找好更新重点针对性更新，然后玩家和氪金数量上去就开始不做人，前期玩家是爷，后期策划是爷，后期反正我怎么更新都有人玩和氪金不舍得退以此循环，tx做游戏唯一能确定的就是门槛低,Disgust,三角洲,三角洲 是 腾讯游戏 旗下 三角洲 融合 战地系列，逃离塔科夫等游戏特点,0.7405180970827738,0.3333333333333333,0.84231424,是[Neutral] > 旗下[Neutral] > 融合(✓)[Disgust],3
60,这游戏大保险箱就是笑话[doge],Disgust,大保险箱,大保险箱 是 高价值容器,0.6593048763275147,0.1,0.7991311,是[Neutral],1
60,这游戏大保险箱就是笑话[doge],Disgust,大保险箱,大保险箱 是 高价值容器 会出现 高价值物品,0.6593048763275147,0.1,0.7991311,是[Neutral] > 会出现[Expectation],2
60,这游戏大保险箱就是笑话[doge],Disgust,大保险箱,大保险箱 是 高价值容器 会出现 高价值物品 包括 红色物品,0.6593048763275147,0.10000000000000002,0.7991311,是[Neutral] > 会出现[Expectation] > 包括[Neutral],3
70,八宝粥行动不好玩，来玩暗区无限。,Disgust,八宝粥,八宝粥 被生产 银鹭 生产 八宝粥,0.5702769351005554,0.1,0.6878462,被生产[Anger] > 生产[Anger],1
70,八宝粥行动不好玩，来玩暗区无限。,Disgust,八宝粥,八宝粥 被生产 银鹭,0.5702615571022034,0.1,0.68782693,被生产[Anger],2
74,三角洲就是黄磊，样样通样样松，还有一群人捧臭脚。,Disgust,三角洲,三角洲 融合 战地系列，逃离塔科夫等游戏特点,0.7461637592315674,0.8,0.7327047,融合(✓)[Disgust],1
74,三角洲就是黄磊，样样通样样松，还有一群人捧臭脚。,Disgust,三角洲,三角洲 是 腾讯游戏 逼氪 玩家,0.7293049359321594,0.45,0.79913116,是[Neutral] > 逼氪(✓)[Disgust],2
74,三角洲就是黄磊，样样通样样松，还有一群人捧臭脚。,Disgust,三角洲,三角洲 是 腾讯游戏 旗下 三角洲 融合 战地系列，逃离塔科夫等游戏特点,0.7059716025988261,0.3333333333333333,0.79913116,是[Neutral] > 旗下[Neutral] > 融合(✓)[Disgust],3
76,三角洲烽火模式雷达狗一堆还封不了,Disgust,三角洲,三角洲 融合 战地系列，逃离塔科夫等游戏特点,0.7440784311294556,0.8,0.730098,融合(✓)[Disgust],1
