序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260559682928,3537125175724328,药师兜找素材,4,保密,可能是因为你换了一个没下地图的手机,2025-04-16 21:39:38,2,0,,未知,否,https://i2.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg,Neutral
2,260559682928,259674550081,1079977398,IAzy昵称已存在,5,保密,"都下完了，一直用的都是这个iPad
而且更新之后bug可多",2025-04-16 22:21:51,0,0,"懒
",未知,否,https://i0.hdslb.com/bfs/face/7533f32d0a5223e4b2526c3ba7ccc54bbc145d77.jpg,Disgust
3,260559682928,259677056353,393094290,淠峯,5,保密,长弓吧，更新还要重新下地图，下完了进去漆黑一片,2025-04-17 00:05:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8d39ff0487243d29002e48f4f18f83a64dd08ec9.jpg,Disgust
4,0,260559682928,3537125175724328,药师兜找素材,4,保密,可能是因为你换了一个没下地图的手机,2025-04-16 21:39:38,2,0,,未知,否,https://i2.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg,Neutral
5,260559682928,259674550081,1079977398,IAzy昵称已存在,5,保密,"都下完了，一直用的都是这个iPad
而且更新之后bug可多",2025-04-16 22:21:51,0,0,"懒
",未知,否,https://i0.hdslb.com/bfs/face/7533f32d0a5223e4b2526c3ba7ccc54bbc145d77.jpg,Disgust
6,260559682928,259677056353,393094290,淠峯,5,保密,长弓吧，更新还要重新下地图，下完了进去漆黑一片,2025-04-17 00:05:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8d39ff0487243d29002e48f4f18f83a64dd08ec9.jpg,Disgust
7,0,260559682928,3537125175724328,药师兜找素材,4,保密,可能是因为你换了一个没下地图的手机,2025-04-16 21:39:38,2,0,,未知,否,https://i2.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg,Neutral
8,260559682928,259674550081,1079977398,IAzy昵称已存在,5,保密,"都下完了，一直用的都是这个iPad
而且更新之后bug可多",2025-04-16 22:21:51,0,0,"懒
",未知,否,https://i0.hdslb.com/bfs/face/7533f32d0a5223e4b2526c3ba7ccc54bbc145d77.jpg,Disgust
9,260559682928,259677056353,393094290,淠峯,5,保密,长弓吧，更新还要重新下地图，下完了进去漆黑一片,2025-04-17 00:05:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8d39ff0487243d29002e48f4f18f83a64dd08ec9.jpg,Disgust
10,0,260559682928,3537125175724328,药师兜找素材,4,保密,可能是因为你换了一个没下地图的手机,2025-04-16 21:39:38,2,0,,未知,否,https://i2.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg,Neutral
11,260559682928,259674550081,1079977398,IAzy昵称已存在,5,保密,"都下完了，一直用的都是这个iPad
而且更新之后bug可多",2025-04-16 22:21:51,0,0,"懒
",未知,否,https://i0.hdslb.com/bfs/face/7533f32d0a5223e4b2526c3ba7ccc54bbc145d77.jpg,Disgust
12,260559682928,259677056353,393094290,淠峯,5,保密,长弓吧，更新还要重新下地图，下完了进去漆黑一片,2025-04-17 00:05:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8d39ff0487243d29002e48f4f18f83a64dd08ec9.jpg,Disgust
13,0,260559682928,3537125175724328,药师兜找素材,4,保密,可能是因为你换了一个没下地图的手机,2025-04-16 21:39:38,2,0,,未知,否,https://i2.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg,Neutral
14,260559682928,259674550081,1079977398,IAzy昵称已存在,5,保密,"都下完了，一直用的都是这个iPad
而且更新之后bug可多",2025-04-16 22:21:51,0,0,"懒
",未知,否,https://i0.hdslb.com/bfs/face/7533f32d0a5223e4b2526c3ba7ccc54bbc145d77.jpg,Disgust
15,260559682928,259677056353,393094290,淠峯,5,保密,长弓吧，更新还要重新下地图，下完了进去漆黑一片,2025-04-17 00:05:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8d39ff0487243d29002e48f4f18f83a64dd08ec9.jpg,Disgust
