序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,262060540416,450663500,Hbhoo,5,保密,我每次打开游戏响bgm的时候最后一个加载进度条卡21% ，然后卡93%就死机了,2025-05-05 03:12:34,0,0,,未知,是,https://i2.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg,Sadness
2,0,261963836144,519038530,忠于忠诚,5,男,优化不做好就有一个问题，把像我这种中低端显卡玩家拦在了门外,2025-05-04 02:04:27,0,0,行人莫问归处，此心安处是吾乡,未知,否,https://i1.hdslb.com/bfs/face/6ebe3a309c274fe6cebf1763043e1c00ddcf3a49.jpg,Sadness
3,0,261918342432,162044110,江山之清风zh,6,男,帧数高对我没用，我现在最烦的是每次打架的时候就会卡顿一两秒，100多帧突然掉到几帧卡一下很烦,2025-05-03 11:41:02,5,9,,未知,是,https://i1.hdslb.com/bfs/face/05ccffd6ee9ffe9b9ffd0ea33dced3b6e28bdc4a.jpg,Anger
4,261918342432,260999072097,386501695,恃鸢_泠花,6,男,我也是，这艾斯比游戏,2025-05-03 14:43:47,0,1,"花有重开日，人无再少年
愿君青春惜，勿留遗憾心",未知,是,https://i1.hdslb.com/bfs/face/ac9a6f6c5693d530d00f39c95aa20a22003ff36e.jpg,Neutral
5,261918342432,261003709729,370269567,一棵萝卜呀,6,保密,还真是，没人的时候不卡，有人一对枪包卡的,2025-05-03 15:35:24,0,1,别烦,未知,是,https://i0.hdslb.com/bfs/face/30820c3142fd1db3429f7b550490f291e6635646.jpg,Anger
6,261918342432,261018562865,1691527056,牛哇点点丿,5,保密,对的，贼恶心,2025-05-03 22:23:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/029a832710730f13f66cc4112e6563c4d1ca4957.jpg,Disgust
7,261918342432,261963665712,1415758403,Mark抽风,5,男,可能吃举报了，ace在那扫盘[笑哭]我一把红薯窝扫4次,2025-05-04 02:02:05,0,0,合作加q:1789385837,未知,否,https://i2.hdslb.com/bfs/face/b48ec558b3127a8ee9ede8ee4a16cbf40c441bb0.jpg,Neutral
8,261918342432,261077460081,3546790123014257,慕拉c,3,保密,"帧率高不代表不卡，还得看low帧和帧生成，假如你一百帧，
100帧是指60毫秒生成100张画面，如果帧生成不稳，那么他59毫秒生成1张，1毫秒生成99张。",2025-05-04 12:38:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7f286b14a1a743f938d748fb1a8ce7af1046f05d.jpg,Expectation
9,0,262060540416,450663500,Hbhoo,5,保密,我每次打开游戏响bgm的时候最后一个加载进度条卡21% ，然后卡93%就死机了,2025-05-05 03:12:34,0,0,,未知,是,https://i2.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg,Sadness
10,0,261963836144,519038530,忠于忠诚,5,男,优化不做好就有一个问题，把像我这种中低端显卡玩家拦在了门外,2025-05-04 02:04:27,0,0,行人莫问归处，此心安处是吾乡,未知,否,https://i1.hdslb.com/bfs/face/6ebe3a309c274fe6cebf1763043e1c00ddcf3a49.jpg,Sadness
11,0,261918342432,162044110,江山之清风zh,6,男,帧数高对我没用，我现在最烦的是每次打架的时候就会卡顿一两秒，100多帧突然掉到几帧卡一下很烦,2025-05-03 11:41:02,5,9,,未知,是,https://i1.hdslb.com/bfs/face/05ccffd6ee9ffe9b9ffd0ea33dced3b6e28bdc4a.jpg,Anger
12,261918342432,260999072097,386501695,恃鸢_泠花,6,男,我也是，这艾斯比游戏,2025-05-03 14:43:47,0,1,"花有重开日，人无再少年
愿君青春惜，勿留遗憾心",未知,是,https://i1.hdslb.com/bfs/face/ac9a6f6c5693d530d00f39c95aa20a22003ff36e.jpg,Neutral
13,261918342432,261003709729,370269567,一棵萝卜呀,6,保密,还真是，没人的时候不卡，有人一对枪包卡的,2025-05-03 15:35:24,0,1,别烦,未知,是,https://i0.hdslb.com/bfs/face/30820c3142fd1db3429f7b550490f291e6635646.jpg,Disgust
14,261918342432,261018562865,1691527056,牛哇点点丿,5,保密,对的，贼恶心,2025-05-03 22:23:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/029a832710730f13f66cc4112e6563c4d1ca4957.jpg,Disgust
15,261918342432,261963665712,1415758403,Mark抽风,5,男,可能吃举报了，ace在那扫盘[笑哭]我一把红薯窝扫4次,2025-05-04 02:02:05,0,0,合作加q:1789385837,未知,否,https://i2.hdslb.com/bfs/face/b48ec558b3127a8ee9ede8ee4a16cbf40c441bb0.jpg,Neutral
16,261918342432,261077460081,3546790123014257,慕拉c,3,保密,"帧率高不代表不卡，还得看low帧和帧生成，假如你一百帧，
100帧是指60毫秒生成100张画面，如果帧生成不稳，那么他59毫秒生成1张，1毫秒生成99张。",2025-05-04 12:38:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7f286b14a1a743f938d748fb1a8ce7af1046f05d.jpg,Expectation
17,0,262060540416,450663500,Hbhoo,5,保密,我每次打开游戏响bgm的时候最后一个加载进度条卡21% ，然后卡93%就死机了,2025-05-05 03:12:34,0,0,,未知,是,https://i2.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg,Sadness
18,0,261963836144,519038530,忠于忠诚,5,男,优化不做好就有一个问题，把像我这种中低端显卡玩家拦在了门外,2025-05-04 02:04:27,0,0,行人莫问归处，此心安处是吾乡,未知,否,https://i1.hdslb.com/bfs/face/6ebe3a309c274fe6cebf1763043e1c00ddcf3a49.jpg,Sadness
19,0,261918342432,162044110,江山之清风zh,6,男,帧数高对我没用，我现在最烦的是每次打架的时候就会卡顿一两秒，100多帧突然掉到几帧卡一下很烦,2025-05-03 11:41:02,5,9,,未知,是,https://i1.hdslb.com/bfs/face/05ccffd6ee9ffe9b9ffd0ea33dced3b6e28bdc4a.jpg,Anger
20,261918342432,260999072097,386501695,恃鸢_泠花,6,男,我也是，这艾斯比游戏,2025-05-03 14:43:47,0,1,"花有重开日，人无再少年
愿君青春惜，勿留遗憾心",未知,是,https://i1.hdslb.com/bfs/face/ac9a6f6c5693d530d00f39c95aa20a22003ff36e.jpg,Neutral
21,261918342432,261003709729,370269567,一棵萝卜呀,6,保密,还真是，没人的时候不卡，有人一对枪包卡的,2025-05-03 15:35:24,0,1,别烦,未知,是,https://i0.hdslb.com/bfs/face/30820c3142fd1db3429f7b550490f291e6635646.jpg,Disgust
22,261918342432,261018562865,1691527056,牛哇点点丿,5,保密,对的，贼恶心,2025-05-03 22:23:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/029a832710730f13f66cc4112e6563c4d1ca4957.jpg,Disgust
23,261918342432,261963665712,1415758403,Mark抽风,5,男,可能吃举报了，ace在那扫盘[笑哭]我一把红薯窝扫4次,2025-05-04 02:02:05,0,0,合作加q:1789385837,未知,否,https://i2.hdslb.com/bfs/face/b48ec558b3127a8ee9ede8ee4a16cbf40c441bb0.jpg,Neutral
24,261918342432,261077460081,3546790123014257,慕拉c,3,保密,"帧率高不代表不卡，还得看low帧和帧生成，假如你一百帧，
100帧是指60毫秒生成100张画面，如果帧生成不稳，那么他59毫秒生成1张，1毫秒生成99张。",2025-05-04 12:38:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7f286b14a1a743f938d748fb1a8ce7af1046f05d.jpg,Expectation
25,0,262060540416,450663500,Hbhoo,5,保密,我每次打开游戏响bgm的时候最后一个加载进度条卡21% ，然后卡93%就死机了,2025-05-05 03:12:34,0,0,,未知,是,https://i2.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg,Sadness
26,0,261963836144,519038530,忠于忠诚,5,男,优化不做好就有一个问题，把像我这种中低端显卡玩家拦在了门外,2025-05-04 02:04:27,0,0,行人莫问归处，此心安处是吾乡,未知,否,https://i1.hdslb.com/bfs/face/6ebe3a309c274fe6cebf1763043e1c00ddcf3a49.jpg,Sadness
27,0,261918342432,162044110,江山之清风zh,6,男,帧数高对我没用，我现在最烦的是每次打架的时候就会卡顿一两秒，100多帧突然掉到几帧卡一下很烦,2025-05-03 11:41:02,5,9,,未知,是,https://i1.hdslb.com/bfs/face/05ccffd6ee9ffe9b9ffd0ea33dced3b6e28bdc4a.jpg,Anger
28,261918342432,260999072097,386501695,恃鸢_泠花,6,男,我也是，这艾斯比游戏,2025-05-03 14:43:47,0,1,"花有重开日，人无再少年
愿君青春惜，勿留遗憾心",未知,是,https://i1.hdslb.com/bfs/face/ac9a6f6c5693d530d00f39c95aa20a22003ff36e.jpg,Neutral
29,261918342432,261003709729,370269567,一棵萝卜呀,6,保密,还真是，没人的时候不卡，有人一对枪包卡的,2025-05-03 15:35:24,0,1,别烦,未知,是,https://i0.hdslb.com/bfs/face/30820c3142fd1db3429f7b550490f291e6635646.jpg,Disgust
30,261918342432,261018562865,1691527056,牛哇点点丿,5,保密,对的，贼恶心,2025-05-03 22:23:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/029a832710730f13f66cc4112e6563c4d1ca4957.jpg,Disgust
31,261918342432,261963665712,1415758403,Mark抽风,5,男,可能吃举报了，ace在那扫盘[笑哭]我一把红薯窝扫4次,2025-05-04 02:02:05,0,0,合作加q:1789385837,未知,否,https://i2.hdslb.com/bfs/face/b48ec558b3127a8ee9ede8ee4a16cbf40c441bb0.jpg,Neutral
32,261918342432,261077460081,3546790123014257,慕拉c,3,保密,"帧率高不代表不卡，还得看low帧和帧生成，假如你一百帧，
100帧是指60毫秒生成100张画面，如果帧生成不稳，那么他59毫秒生成1张，1毫秒生成99张。",2025-05-04 12:38:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7f286b14a1a743f938d748fb1a8ce7af1046f05d.jpg,Expectation
33,0,262060540416,450663500,Hbhoo,5,保密,我每次打开游戏响bgm的时候最后一个加载进度条卡21% ，然后卡93%就死机了,2025-05-05 03:12:34,0,0,,未知,是,https://i2.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg,Sadness
34,0,261963836144,519038530,忠于忠诚,5,男,优化不做好就有一个问题，把像我这种中低端显卡玩家拦在了门外,2025-05-04 02:04:27,0,0,行人莫问归处，此心安处是吾乡,未知,否,https://i1.hdslb.com/bfs/face/6ebe3a309c274fe6cebf1763043e1c00ddcf3a49.jpg,Sadness
35,0,261918342432,162044110,江山之清风zh,6,男,帧数高对我没用，我现在最烦的是每次打架的时候就会卡顿一两秒，100多帧突然掉到几帧卡一下很烦,2025-05-03 11:41:02,5,9,,未知,是,https://i1.hdslb.com/bfs/face/05ccffd6ee9ffe9b9ffd0ea33dced3b6e28bdc4a.jpg,Anger
36,261918342432,260999072097,386501695,恃鸢_泠花,6,男,我也是，这艾斯比游戏,2025-05-03 14:43:47,0,1,"花有重开日，人无再少年
愿君青春惜，勿留遗憾心",未知,是,https://i1.hdslb.com/bfs/face/ac9a6f6c5693d530d00f39c95aa20a22003ff36e.jpg,Neutral
37,261918342432,261003709729,370269567,一棵萝卜呀,6,保密,还真是，没人的时候不卡，有人一对枪包卡的,2025-05-03 15:35:24,0,1,别烦,未知,是,https://i0.hdslb.com/bfs/face/30820c3142fd1db3429f7b550490f291e6635646.jpg,Anger
38,261918342432,261018562865,1691527056,牛哇点点丿,5,保密,对的，贼恶心,2025-05-03 22:23:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/029a832710730f13f66cc4112e6563c4d1ca4957.jpg,Disgust
39,261918342432,261963665712,1415758403,Mark抽风,5,男,可能吃举报了，ace在那扫盘[笑哭]我一把红薯窝扫4次,2025-05-04 02:02:05,0,0,合作加q:1789385837,未知,否,https://i2.hdslb.com/bfs/face/b48ec558b3127a8ee9ede8ee4a16cbf40c441bb0.jpg,Neutral
40,261918342432,261077460081,3546790123014257,慕拉c,3,保密,"帧率高不代表不卡，还得看low帧和帧生成，假如你一百帧，
100帧是指60毫秒生成100张画面，如果帧生成不稳，那么他59毫秒生成1张，1毫秒生成99张。",2025-05-04 12:38:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7f286b14a1a743f938d748fb1a8ce7af1046f05d.jpg,Expectation
