序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260641327280,5862027,_CCColorFul,6,男,我就要看直播弹幕呢，你就给关了[辣眼睛],2025-04-18 00:39:58,3,1,前神狐Kana组代理组长，DD同好会组组长,未知,否,https://i0.hdslb.com/bfs/face/7961df308214dfb2b88014359fe62cee35e7b4c5.jpg,Disgust
2,260641327280,260644150816,35737549,颜佰酱,6,男,太多报点，你真的要看嘛[笑哭],2025-04-18 01:36:03,0,0,没更新就是跟生活战斗去了,未知,否,https://i1.hdslb.com/bfs/face/637395aaf18c86a8e76a02afdd0f8adbfafa565b.jpg,Disgust
3,260644150816,260644393184,5862027,_CCColorFul,6,男,回复 @颜佰酱 :已经从别的地方看完了清图的过程，我就要看观众和我一样的满屏刷“卧槽”[doge],2025-04-18 01:41:08,0,0,前神狐Kana组代理组长，DD同好会组组长,未知,否,https://i0.hdslb.com/bfs/face/7961df308214dfb2b88014359fe62cee35e7b4c5.jpg,Joy
4,260644393184,260644698464,35737549,颜佰酱,6,男,回复 @_CCColorFul :我录的第一局有，第二局关了[保卫萝卜_哭哭],2025-04-18 01:44:48,0,0,没更新就是跟生活战斗去了,未知,否,https://i1.hdslb.com/bfs/face/637395aaf18c86a8e76a02afdd0f8adbfafa565b.jpg,Neutral
5,0,260641327280,5862027,_CCColorFul,6,男,我就要看直播弹幕呢，你就给关了[辣眼睛],2025-04-18 00:39:58,3,1,前神狐Kana组代理组长，DD同好会组组长,未知,否,https://i0.hdslb.com/bfs/face/7961df308214dfb2b88014359fe62cee35e7b4c5.jpg,Disgust
6,260641327280,260644150816,35737549,颜佰酱,6,男,太多报点，你真的要看嘛[笑哭],2025-04-18 01:36:03,0,0,没更新就是跟生活战斗去了,未知,否,https://i1.hdslb.com/bfs/face/637395aaf18c86a8e76a02afdd0f8adbfafa565b.jpg,Disgust
7,260644150816,260644393184,5862027,_CCColorFul,6,男,回复 @颜佰酱 :已经从别的地方看完了清图的过程，我就要看观众和我一样的满屏刷“卧槽”[doge],2025-04-18 01:41:08,0,0,前神狐Kana组代理组长，DD同好会组组长,未知,否,https://i0.hdslb.com/bfs/face/7961df308214dfb2b88014359fe62cee35e7b4c5.jpg,Surprise
8,260644393184,260644698464,35737549,颜佰酱,6,男,回复 @_CCColorFul :我录的第一局有，第二局关了[保卫萝卜_哭哭],2025-04-18 01:44:48,0,0,没更新就是跟生活战斗去了,未知,否,https://i1.hdslb.com/bfs/face/637395aaf18c86a8e76a02afdd0f8adbfafa565b.jpg,Neutral
9,0,260641327280,5862027,_CCColorFul,6,男,我就要看直播弹幕呢，你就给关了[辣眼睛],2025-04-18 00:39:58,3,1,前神狐Kana组代理组长，DD同好会组组长,未知,否,https://i0.hdslb.com/bfs/face/7961df308214dfb2b88014359fe62cee35e7b4c5.jpg,Disgust
10,260641327280,260644150816,35737549,颜佰酱,6,男,太多报点，你真的要看嘛[笑哭],2025-04-18 01:36:03,0,0,没更新就是跟生活战斗去了,未知,否,https://i1.hdslb.com/bfs/face/637395aaf18c86a8e76a02afdd0f8adbfafa565b.jpg,Disgust
