序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,259719427457,318935586,清风纳影,6,保密,现在改了，长夜看的都很清楚，亮度还挺高。,2025-04-17 12:05:08,0,1,,未知,是,https://i0.hdslb.com/bfs/face/65a113cc09e2c9e9c8f735ff1dd2870784079828.jpg,Joy
2,0,260098054512,251812004,巨山超力霸259,6,男,以后都不打瓦了？,2025-04-11 07:23:28,0,1,,未知,否,https://i2.hdslb.com/bfs/face/2f79c8ac270854a6a69ee2de6253f86631973354.jpg,Regret
3,0,259212916145,90373466,lightjoy1轻明,6,男,你是谁，以前的视频呢[Mygo表情包_让我看看],2025-04-11 02:26:35,3,2,还得是游戏,未知,是,https://i2.hdslb.com/bfs/face/50a9ea1c4c8341445652e027967498c278b31668.jpg,Neutral
4,259212916145,259214677649,37042659,BOLO_三角洲行动,6,保密,删了呀,2025-04-11 02:55:08,0,0,"瓦罗兰特全赛季辐能，最高亚服第二（目前在回暖）
pubg亚服前十（2017年的，现在很菜了）
现主要玩三角洲，每天晚上直播",未知,否,https://i0.hdslb.com/bfs/face/5fcad0def9296f1c57d49deadced4bc1e8e3ba42.jpg,Neutral
5,259214677649,259225921729,90373466,lightjoy1轻明,6,男,回复 @BOLO__ :想不起来是看哪个关注的了,2025-04-11 05:28:37,0,0,还得是游戏,未知,是,https://i2.hdslb.com/bfs/face/50a9ea1c4c8341445652e027967498c278b31668.jpg,Neutral
6,259225921729,260270128945,1350918589,流云映晚亭,5,保密,回复 @lightjoy1轻明 :瓦的保安,2025-04-24 12:42:52,0,1,,未知,是,https://i1.hdslb.com/bfs/face/4bbfeb3566c4d9b5ecca085660c8a9902c7ddb94.jpg,Neutral
7,0,259719427457,318935586,清风纳影,6,保密,现在改了，长夜看的都很清楚，亮度还挺高。,2025-04-17 12:05:08,0,1,,未知,是,https://i0.hdslb.com/bfs/face/65a113cc09e2c9e9c8f735ff1dd2870784079828.jpg,Joy
8,0,260098054512,251812004,巨山超力霸259,6,男,以后都不打瓦了？,2025-04-11 07:23:28,0,1,,未知,否,https://i2.hdslb.com/bfs/face/2f79c8ac270854a6a69ee2de6253f86631973354.jpg,Regret
9,0,259212916145,90373466,lightjoy1轻明,6,男,你是谁，以前的视频呢[Mygo表情包_让我看看],2025-04-11 02:26:35,3,2,还得是游戏,未知,是,https://i2.hdslb.com/bfs/face/50a9ea1c4c8341445652e027967498c278b31668.jpg,Neutral
10,259212916145,259214677649,37042659,BOLO_三角洲行动,6,保密,删了呀,2025-04-11 02:55:08,0,0,"瓦罗兰特全赛季辐能，最高亚服第二（目前在回暖）
pubg亚服前十（2017年的，现在很菜了）
现主要玩三角洲，每天晚上直播",未知,否,https://i0.hdslb.com/bfs/face/5fcad0def9296f1c57d49deadced4bc1e8e3ba42.jpg,Neutral
11,259214677649,259225921729,90373466,lightjoy1轻明,6,男,回复 @BOLO__ :想不起来是看哪个关注的了,2025-04-11 05:28:37,0,0,还得是游戏,未知,是,https://i2.hdslb.com/bfs/face/50a9ea1c4c8341445652e027967498c278b31668.jpg,Neutral
12,259225921729,260270128945,1350918589,流云映晚亭,5,保密,回复 @lightjoy1轻明 :瓦的保安,2025-04-24 12:42:52,0,1,,未知,是,https://i1.hdslb.com/bfs/face/4bbfeb3566c4d9b5ecca085660c8a9902c7ddb94.jpg,Neutral
13,0,259719427457,318935586,清风纳影,6,保密,现在改了，长夜看的都很清楚，亮度还挺高。,2025-04-17 12:05:08,0,1,,未知,是,https://i0.hdslb.com/bfs/face/65a113cc09e2c9e9c8f735ff1dd2870784079828.jpg,Expectation
14,0,260098054512,251812004,巨山超力霸259,6,男,以后都不打瓦了？,2025-04-11 07:23:28,0,1,,未知,否,https://i2.hdslb.com/bfs/face/2f79c8ac270854a6a69ee2de6253f86631973354.jpg,Regret
15,0,259212916145,90373466,lightjoy1轻明,6,男,你是谁，以前的视频呢[Mygo表情包_让我看看],2025-04-11 02:26:35,3,2,还得是游戏,未知,是,https://i2.hdslb.com/bfs/face/50a9ea1c4c8341445652e027967498c278b31668.jpg,Neutral
16,259212916145,259214677649,37042659,BOLO_三角洲行动,6,保密,删了呀,2025-04-11 02:55:08,0,0,"瓦罗兰特全赛季辐能，最高亚服第二（目前在回暖）
pubg亚服前十（2017年的，现在很菜了）
现主要玩三角洲，每天晚上直播",未知,否,https://i0.hdslb.com/bfs/face/5fcad0def9296f1c57d49deadced4bc1e8e3ba42.jpg,Neutral
17,259214677649,259225921729,90373466,lightjoy1轻明,6,男,回复 @BOLO__ :想不起来是看哪个关注的了,2025-04-11 05:28:37,0,0,还得是游戏,未知,是,https://i2.hdslb.com/bfs/face/50a9ea1c4c8341445652e027967498c278b31668.jpg,Neutral
18,259225921729,260270128945,1350918589,流云映晚亭,5,保密,回复 @lightjoy1轻明 :瓦的保安,2025-04-24 12:42:52,0,1,,未知,是,https://i1.hdslb.com/bfs/face/4bbfeb3566c4d9b5ecca085660c8a9902c7ddb94.jpg,Neutral
19,0,259719427457,318935586,清风纳影,6,保密,现在改了，长夜看的都很清楚，亮度还挺高。,2025-04-17 12:05:08,0,1,,未知,是,https://i0.hdslb.com/bfs/face/65a113cc09e2c9e9c8f735ff1dd2870784079828.jpg,Joy
20,0,260098054512,251812004,巨山超力霸259,6,男,以后都不打瓦了？,2025-04-11 07:23:28,0,1,,未知,否,https://i2.hdslb.com/bfs/face/2f79c8ac270854a6a69ee2de6253f86631973354.jpg,Regret
21,0,259212916145,90373466,lightjoy1轻明,6,男,你是谁，以前的视频呢[Mygo表情包_让我看看],2025-04-11 02:26:35,3,2,还得是游戏,未知,是,https://i2.hdslb.com/bfs/face/50a9ea1c4c8341445652e027967498c278b31668.jpg,Neutral
22,259212916145,259214677649,37042659,BOLO_三角洲行动,6,保密,删了呀,2025-04-11 02:55:08,0,0,"瓦罗兰特全赛季辐能，最高亚服第二（目前在回暖）
pubg亚服前十（2017年的，现在很菜了）
现主要玩三角洲，每天晚上直播",未知,否,https://i0.hdslb.com/bfs/face/5fcad0def9296f1c57d49deadced4bc1e8e3ba42.jpg,Neutral
