序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261899661984,471827630,鸢予慕君年,4,保密,不错还能看见人，看我的。,2025-05-03 07:33:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/901435ef227c679e6df25f681e730d5539874fe4.jpg,Joy
2,0,259586376257,323918768,a小破,6,保密,我也是这样,2025-04-15 15:43:35,0,1,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
3,0,258969634257,354557776,安落辉,5,保密,可以看到你的镜子没在位置上，试试重启游戏或者调调分辨率，我以前遇到过，我是重启游戏就好了，如果实在不行或者打架的时候临时遇上了，就只能暂时按照镜子的偏移状况大概估计准星了[笑哭],2025-04-07 19:59:19,2,2,,未知,否,http://i1.hdslb.com/bfs/face/96bfa5208011e2946312e0f69730f3f059c9aa1f.jpg,Expectation
4,0,258967748433,1256346651,海馫的父亲,5,保密,没遇到过,2025-04-07 18:23:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c540f236d40265e44c8969b98036233386bb3a4e.jpg,Neutral
5,0,258915696033,99391855,什么都玉只会营养均恒,5,保密,何晨光的倍镜,2025-04-07 05:32:45,4,2,,未知,是,https://i1.hdslb.com/bfs/face/ef518330db19fc89179f4c17c841f7227184c8e3.jpg,Neutral
6,258969634257,258986528289,52358165,風月Shikkari,6,男,重启没啥用，天天进靶场看都是这个鸟样，服了,2025-04-08 03:58:30,0,0,群708166343 最近忙lan,未知,否,https://i2.hdslb.com/bfs/face/51a77126a4b9fc5b56b110f25ef4fe583728b98a.jpg,Disgust
7,258969634257,258986980577,52358165,風月Shikkari,6,男,太难了，每个分辨率都试了还是有问题,2025-04-08 04:03:26,0,0,群708166343 最近忙lan,未知,否,https://i2.hdslb.com/bfs/face/51a77126a4b9fc5b56b110f25ef4fe583728b98a.jpg,Sadness
8,258915696033,258917179169,52358165,風月Shikkari,6,男,[大哭]没有人一样情况吗,2025-04-07 06:01:50,0,0,群708166343 最近忙lan,未知,否,https://i2.hdslb.com/bfs/face/51a77126a4b9fc5b56b110f25ef4fe583728b98a.jpg,Sadness
9,258917179169,258930768593,291103779,似小友,5,保密,回复 @風月Shikkari :有，得改分辨率,2025-04-07 09:49:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/69b4e425792153e886af614d3ce498e3cb3a9af7.jpg,Neutral
10,258930768593,258933996033,52358165,風月Shikkari,6,男,回复 @似小友 :大佬细说~~！！！跪求,2025-04-07 10:32:03,0,0,群708166343 最近忙lan,未知,否,https://i2.hdslb.com/bfs/face/51a77126a4b9fc5b56b110f25ef4fe583728b98a.jpg,Neutral
11,258933996033,258937040433,291103779,似小友,5,保密,回复 @風月Shikkari :设置里调分辨率啊，挨个试下，有的分辨率下就有这个bug，我就这样改好的,2025-04-07 11:06:46,0,0,,未知,否,https://i0.hdslb.com/bfs/face/69b4e425792153e886af614d3ce498e3cb3a9af7.jpg,Expectation
12,0,261899661984,471827630,鸢予慕君年,4,保密,不错还能看见人，看我的。,2025-05-03 07:33:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/901435ef227c679e6df25f681e730d5539874fe4.jpg,Joy
13,0,259586376257,323918768,a小破,6,保密,我也是这样,2025-04-15 15:43:35,0,1,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
14,0,258969634257,354557776,安落辉,5,保密,可以看到你的镜子没在位置上，试试重启游戏或者调调分辨率，我以前遇到过，我是重启游戏就好了，如果实在不行或者打架的时候临时遇上了，就只能暂时按照镜子的偏移状况大概估计准星了[笑哭],2025-04-07 19:59:19,2,2,,未知,否,http://i1.hdslb.com/bfs/face/96bfa5208011e2946312e0f69730f3f059c9aa1f.jpg,Expectation
15,0,258967748433,1256346651,海馫的父亲,5,保密,没遇到过,2025-04-07 18:23:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c540f236d40265e44c8969b98036233386bb3a4e.jpg,Neutral
16,0,258915696033,99391855,什么都玉只会营养均恒,5,保密,何晨光的倍镜,2025-04-07 05:32:45,4,2,,未知,是,https://i1.hdslb.com/bfs/face/ef518330db19fc89179f4c17c841f7227184c8e3.jpg,Neutral
17,258969634257,258986528289,52358165,風月Shikkari,6,男,重启没啥用，天天进靶场看都是这个鸟样，服了,2025-04-08 03:58:30,0,0,群708166343 最近忙lan,未知,否,https://i2.hdslb.com/bfs/face/51a77126a4b9fc5b56b110f25ef4fe583728b98a.jpg,Disgust
18,258969634257,258986980577,52358165,風月Shikkari,6,男,太难了，每个分辨率都试了还是有问题,2025-04-08 04:03:26,0,0,群708166343 最近忙lan,未知,否,https://i2.hdslb.com/bfs/face/51a77126a4b9fc5b56b110f25ef4fe583728b98a.jpg,Sadness
19,258915696033,258917179169,52358165,風月Shikkari,6,男,[大哭]没有人一样情况吗,2025-04-07 06:01:50,0,0,群708166343 最近忙lan,未知,否,https://i2.hdslb.com/bfs/face/51a77126a4b9fc5b56b110f25ef4fe583728b98a.jpg,Sadness
20,258917179169,258930768593,291103779,似小友,5,保密,回复 @風月Shikkari :有，得改分辨率,2025-04-07 09:49:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/69b4e425792153e886af614d3ce498e3cb3a9af7.jpg,Neutral
21,258930768593,258933996033,52358165,風月Shikkari,6,男,回复 @似小友 :大佬细说~~！！！跪求,2025-04-07 10:32:03,0,0,群708166343 最近忙lan,未知,否,https://i2.hdslb.com/bfs/face/51a77126a4b9fc5b56b110f25ef4fe583728b98a.jpg,Expectation
22,258933996033,258937040433,291103779,似小友,5,保密,回复 @風月Shikkari :设置里调分辨率啊，挨个试下，有的分辨率下就有这个bug，我就这样改好的,2025-04-07 11:06:46,0,0,,未知,否,https://i0.hdslb.com/bfs/face/69b4e425792153e886af614d3ce498e3cb3a9af7.jpg,Expectation
23,0,261899661984,471827630,鸢予慕君年,4,保密,不错还能看见人，看我的。,2025-05-03 07:33:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/901435ef227c679e6df25f681e730d5539874fe4.jpg,Joy
24,0,259586376257,323918768,a小破,6,保密,我也是这样,2025-04-15 15:43:35,0,1,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
