序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260037643873,1403428573,-_弑魂_-,4,保密,上次也卡了这个bug，全是黑的人[笑哭],2025-04-21 10:39:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/881ff5f2787cccccca584ee7f7d7f5ec41b7ea6d.jpg,Joy
2,0,259893971713,3546763428366391,我才是唐龙,3,男,我也有过，应该是复活时被卡在地图外面了,2025-04-19 14:50:57,1,0,商业合作请加VX:tanglong114514,未知,是,https://i1.hdslb.com/bfs/face/d370d7cb318e1dd5fd8d55e79ab1ccc71a16519a.jpg,Neutral
3,0,260696126224,3546852160964614,青水太好了,3,保密,我也是,2025-04-18 13:36:20,3,0,,未知,否,https://i1.hdslb.com/bfs/face/2f9df196065ac4e38830b7c32fa06b540cc07f7b.jpg,Neutral
4,259893971713,259904492993,1456417394,泷_exe未响应,5,男,我连续三把都出了这个问题[辣眼睛],2025-04-19 17:00:41,0,0,屑,未知,是,https://i2.hdslb.com/bfs/face/cd76bbf120841e5f2dd5271c6b148b20898c4128.jpg,Disgust
5,260696126224,259805778977,1456417394,泷_exe未响应,5,男,我还以为是新角色的问题,2025-04-18 14:00:40,0,0,屑,未知,是,https://i2.hdslb.com/bfs/face/cd76bbf120841e5f2dd5271c6b148b20898c4128.jpg,Surprise
6,260696126224,259805637185,1456417394,泷_exe未响应,5,男,用其他角色也这样,2025-04-18 14:00:47,0,0,屑,未知,是,https://i2.hdslb.com/bfs/face/cd76bbf120841e5f2dd5271c6b148b20898c4128.jpg,Disgust
7,260696126224,259805784305,1456417394,泷_exe未响应,5,男,现在修好了,2025-04-18 14:00:51,0,0,屑,未知,是,https://i2.hdslb.com/bfs/face/cd76bbf120841e5f2dd5271c6b148b20898c4128.jpg,Neutral
8,0,260037643873,1403428573,-_弑魂_-,4,保密,上次也卡了这个bug，全是黑的人[笑哭],2025-04-21 10:39:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/881ff5f2787cccccca584ee7f7d7f5ec41b7ea6d.jpg,Joy
9,0,259893971713,3546763428366391,我才是唐龙,3,男,我也有过，应该是复活时被卡在地图外面了,2025-04-19 14:50:57,1,0,商业合作请加VX:tanglong114514,未知,是,https://i1.hdslb.com/bfs/face/d370d7cb318e1dd5fd8d55e79ab1ccc71a16519a.jpg,Neutral
10,0,260696126224,3546852160964614,青水太好了,3,保密,我也是,2025-04-18 13:36:20,3,0,,未知,否,https://i1.hdslb.com/bfs/face/2f9df196065ac4e38830b7c32fa06b540cc07f7b.jpg,Neutral
11,260696126224,259805778977,1456417394,泷_exe未响应,5,男,我还以为是新角色的问题,2025-04-18 14:00:40,0,0,屑,未知,是,https://i2.hdslb.com/bfs/face/cd76bbf120841e5f2dd5271c6b148b20898c4128.jpg,Surprise
12,260696126224,259805637185,1456417394,泷_exe未响应,5,男,用其他角色也这样,2025-04-18 14:00:47,0,0,屑,未知,是,https://i2.hdslb.com/bfs/face/cd76bbf120841e5f2dd5271c6b148b20898c4128.jpg,Neutral
13,260696126224,259805784305,1456417394,泷_exe未响应,5,男,现在修好了,2025-04-18 14:00:51,0,0,屑,未知,是,https://i2.hdslb.com/bfs/face/cd76bbf120841e5f2dd5271c6b148b20898c4128.jpg,Neutral
